world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf
-549130.11492,0,0,-549130.303077,215.57299990672618,1.6959460399041337,-0.25682157278060913,1.4220666885375977,-0.25682157278060913,1.4220666885375977,False
-549130.0425969999,1,1,-549130.064842,157.3670000070706,2.491567676972307,-0.20313666760921478,1.4069910049438477,-0.20313666760921478,1.4069910049438477,False
-549129.9902929999,2,1,-549130.064842,157.3670000070706,2.491567676972307,-0.19021309912204742,1.4093337059020996,-0.19021309912204742,1.4093337059020996,False
-549129.944694,3,1,-549130.064842,157.3670000070706,2.491567676972307,-0.15414972603321075,1.4115402698516846,-0.15414972603321075,1.4115402698516846,False
-549129.8985019999,4,1,-549130.064842,157.3670000070706,2.491567676972307,-0.1342756450176239,1.414515733718872,-0.1342756450176239,1.414515733718872,False
-549129.7265359999,8,2,-549129.731454,83.99099996313453,2.8684505535145877,-0.8270189166069031,0.7414932250976562,-0.8270189166069031,0.7414932250976562,False
-549129.6856819999,9,2,-549129.731454,83.99099996313453,2.8684505535145877,-0.7974503040313721,0.7498976588249207,-0.7974503040313721,0.7498976588249207,False
-549129.6408609999,10,2,-549129.731454,83.99099996313453,2.8684505535145877,-0.7827290892601013,0.7557393312454224,-0.7827290892601013,0.7557393312454224,False
-549129.6408609999,10,3,-549129.639388,143.79400003235787,2.3957396728385465,-0.844061553478241,0.6920493245124817,-0.844061553478241,0.6920493245124817,False
-549129.596059,11,3,-549129.639388,143.79400003235787,2.3957396728385465,-0.8308885097503662,0.6980193853378296,-0.8308885097503662,0.6980193853378296,False
-549129.5469689999,12,3,-549129.639388,143.79400003235787,2.3957396728385465,-0.801296055316925,0.712579607963562,-0.801296055316925,0.712579607963562,False
-549129.499817,13,3,-549129.639388,143.79400003235787,2.3957396728385465,-0.7821508646011353,0.7216669917106628,-0.7821508646011353,0.7216669917106628,False
-549129.451559,14,4,-549129.470646,120.22499996237457,2.823791556537111,-0.8622367978096008,0.6039174199104309,-0.8622367978096008,0.6039174199104309,False
-549129.4059359999,15,4,-549129.470646,120.22499996237457,2.823791556537111,-0.8076637387275696,0.6298214197158813,-0.8076637387275696,0.6298214197158813,False
-549129.3620989999,16,4,-549129.470646,120.22499996237457,2.823791556537111,-0.789944589138031,0.6430643200874329,-0.789944589138031,0.6430643200874329,False
-549129.3620989999,16,5,-549129.346126,202.68300001043826,2.293328205824051,-0.890947163105011,0.5405983328819275,-0.890947163105011,0.5405983328819275,False
-549129.318808,17,5,-549129.346126,202.68300001043826,2.293328205824051,-0.8820592761039734,0.5481988191604614,-0.8820592761039734,0.5481988191604614,False
-549129.2729989999,18,5,-549129.346126,202.68300001043826,2.293328205824051,-0.8633213639259338,0.5572431087493896,-0.8633213639259338,0.5572431087493896,False
-549129.22693,19,5,-549129.346126,202.68300001043826,2.293328205824051,-0.8574778437614441,0.5596100687980652,-0.8574778437614441,0.5596100687980652,False
-549129.181275,20,5,-549129.346126,202.68300001043826,2.293328205824051,-0.8484567403793335,0.5571811199188232,-0.8484567403793335,0.5571811199188232,False
-549129.1281569999,21,5,-549129.346126,202.68300001043826,2.293328205824051,-0.8533732295036316,0.5533922910690308,-0.8533732295036316,0.5533922910690308,False
-549129.033039,23,6,-549129.032669,205.1949999295175,2.855656022685254,-0.7456912994384766,0.6742631793022156,-0.7456912994384766,0.6742631793022156,False
-549128.9897749999,24,6,-549129.032669,205.1949999295175,2.855656022685254,-0.7447879910469055,0.6750524640083313,-0.7447879910469055,0.6750524640083313,False
-549128.945173,25,6,-549129.032669,205.1949999295175,2.855656022685254,-0.7470376491546631,0.6729094982147217,-0.7470376491546631,0.6729094982147217,False
-549128.90079,26,6,-549129.032669,205.1949999295175,2.855656022685254,-0.7479586005210876,0.6706457734107971,-0.7479586005210876,0.6706457734107971,False
-549128.8580179999,27,6,-549129.032669,205.1949999295175,2.855656022685254,-0.7471289038658142,0.6677762269973755,-0.7471289038658142,0.6677762269973755,False
-549128.81393,28,6,-549129.032669,205.1949999295175,2.855656022685254,-0.7443296313285828,0.660982072353363,-0.7443296313285828,0.660982072353363,False
-549128.81393,28,7,-549128.796603,81.16800000425428,1.8462863692652753,-0.6709576845169067,0.7230311632156372,-0.6709576845169067,0.7230311632156372,False
-549128.764352,29,7,-549128.796603,81.16800000425428,1.8462863692652753,-0.6720125079154968,0.7191677093505859,-0.6720125079154968,0.7191677093505859,False
-549128.7194149999,30,7,-549128.796603,81.16800000425428,1.8462863692652753,-0.6712293028831482,0.7157002091407776,-0.6712293028831482,0.7157002091407776,False
-549128.675284,31,8,-549128.687567,82.39800005685538,2.844695056043589,-0.6340190768241882,0.7543304562568665,-0.6340190768241882,0.7543304562568665,False
-549128.6280949999,32,8,-549128.687567,82.39800005685538,2.844695056043589,-0.6330618858337402,0.7507882118225098,-0.6330618858337402,0.7507882118225098,False
-549128.5757459999,33,9,-549128.599501,87.65100000891834,0.9887893925621,-0.719589114189148,0.6767445206642151,-0.719589114189148,0.6767445206642151,False
-549128.5207349999,34,9,-549128.599501,87.65100000891834,0.9887893925621,-0.7168081998825073,0.6731373071670532,-0.7168081998825073,0.6731373071670532,False
-549128.3769769999,37,10,-549128.3921160001,80.62300004530698,2.9938270883806766,-0.09632406383752823,0.8048573136329651,-0.09632406383752823,0.8048573136329651,False
-549128.3306239999,38,10,-549128.3921160001,80.62300004530698,2.9938270883806766,-0.0945497453212738,0.805267333984375,-0.0945497453212738,0.805267333984375,False
