key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,11.07.2023
Export Time,13:07:40
Frame Index Range:,0 - 1888
Relative Time Range,00:00.000 - 01:03.467
Absolute Time Range,62396.449808 - 62459.917506
