key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,11.07.2023
Export Time,13:12:24
Frame Index Range:,0 - 2227
Relative Time Range,00:00.000 - 01:15.478
Absolute Time Range,347412.757981 - 347488.236765
