id,colorId,shapeId,x1,y1,x2,y2,x3,y3,x4,y4
0,2,0,380.0,142.5,395.83333333333337,142.5,380.0,158.33333333333334,395.83333333333337,158.33333333333334
1,2,0,380.0,142.5,395.83333333333337,142.5,380.0,158.33333333333334,395.83333333333337,158.33333333333334
2,3,0,443.33333333333337,142.5,459.16666666666663,142.5,443.33333333333337,158.33333333333334,459.16666666666663,158.33333333333334
3,3,1,475.0,142.5,522.5,142.5,475.0,158.33333333333334,522.5,158.33333333333334
4,3,1,443.33333333333337,142.5,490.83333333333337,142.5,443.33333333333337,158.33333333333334,490.83333333333337,158.33333333333334
5,3,0,443.33333333333337,142.5,459.16666666666663,142.5,443.33333333333337,158.33333333333334,459.16666666666663,158.33333333333334
6,2,1,411.66666666666663,142.5,459.16666666666663,142.5,411.66666666666663,158.33333333333334,459.16666666666663,158.33333333333334
7,2,0,380.0,142.5,395.83333333333337,142.5,380.0,158.33333333333334,395.83333333333337,158.33333333333334
8,0,0,380.0,205.83333333333331,395.83333333333337,205.83333333333331,380.0,221.66666666666669,395.83333333333337,221.66666666666669
9,0,0,380.0,205.83333333333331,395.83333333333337,205.83333333333331,380.0,221.66666666666669,395.83333333333337,221.66666666666669
10,0,0,380.0,205.83333333333331,395.83333333333337,205.83333333333331,380.0,221.66666666666669,395.83333333333337,221.66666666666669
11,1,1,380.0,174.16666666666666,395.83333333333337,174.16666666666666,380.0,221.66666666666669,395.83333333333337,221.66666666666669
