key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,11.07.2023
Export Time,13:02:23
Frame Index Range:,0 - 900
Relative Time Range,00:00.000 - 00:30.188
Absolute Time Range,62520.677189 - 62550.865499
