stepId,actionId,timestamp,duration
0,0,62522781.569,1207.8559999987483
1,0,62527373.372,804.109999999404
1,1,62528213.328999996,868.581000007689
1,2,62529117.251,804.1590000018477
2,0,62531361.417,367.90599999576807
2,1,62531765.387,1103.8610000014305
2,2,62532901.445,1075.8109999969602
3,0,62534577.249000005,404.18399999290705
3,1,62535217.477,1071.8649999946356
3,2,62536324.22,1069.042999997735
4,0,62537661.337,567.8950000032783
4,1,62538433.397,635.859000004828
4,2,62539102.124,1239.2159999981523
5,0,62541113.361999996,636.0170000046492
5,1,62542117.22,404.12900000065565
5,2,62542553.934,1743.4549999982119
6,0,62544965.407000005,435.9509999975562
6,1,62545637.225,468.9219999983907
6,2,62546141.377,1371.9619999974966
