stepId,actionId,timestamp,duration
0,0,62260662.748,1007.222000002861
1,0,62264822.045,904.0469999983907
1,1,62266201.908,528.1780000030994
1,2,62266766.173999995,2007.8620000109076
2,0,62269545.93,736.140000000596
2,1,62270382.102000006,535.8949999883771
2,2,62270954.036000006,4155.938999995589
3,0,62278593.977,568.0710000023246
3,1,62279498.019999996,1378.0950000062585
3,2,62280908.233,4288.56099999696
4,0,62286501.887,1104.1419999971986
4,1,62288010.113,504.554000005126
4,2,62288545.932000004,2044.0999999940395
5,0,62291530.062,736.0619999989867
5,1,62292298.101,805.8729999959469
5,2,62293138.062,1539.8110000044107
7,0,62298097.968,1371.957999996841
7,1,62299873.888000004,1304.0909999981523
7,2,62301213.875,1408.0769999995828
8,0,62303157.97,500.1550000011921
8,1,62303826.112,905.5599999949336
8,2,62304765.892000005,1439.9619999974966
9,0,62306642.051,771.8530000001192
9,1,62307551.831,2775.1560000032187
9,2,62310361.856000006,1540.100999996066
