stepId,actionId,timestamp,duration
0,0,347427688.377,10811.680999994278
1,0,347438500.05799997,540.4750000238419
1,1,347439064.87399995,2944.4520000219345
1,2,347442041.024,3159.0099999904633
2,0,347445882.647,8598.299000024796
2,1,347454515.984,943.852999985218
2,2,347455490.033,2406.70300000906
3,0,347458538.434,1577.4860000014305
3,1,347460147.718,805.5090000033379
3,2,347460986.869,2654.1990000009537
4,0,347463675.586,2397.884000003338
4,1,347466108.981,1776.0849999785423
4,2,347467917.13199997,2282.523000061512
5,0,347470234.806,2314.3009999990463
5,1,347472578.174,2223.7860000133514
5,2,347474833.304,3788.985000014305
6,0,347478957.038,1661.292000055313
6,1,347480652.885,1324.925000011921
6,2,347481977.81,2664.1990000009537
