stepId,actionId,begin,end
0,0,1695893256645,1695893259924
1,1,1695893259924,1695893262294
1,2,1695893262294,1695893263593
2,1,1695893263593,1695893264960
2,2,1695893264960,1695893266554
3,1,1695893266554,1695893269412
3,2,1695893269412,1695893271482
4,1,1695893271482,1695893273257
4,2,1695893273257,1695893274788
5,1,1695893274788,1695893276014
5,2,1695893276014,1695893277086
6,1,1695893277086,1695893279512
6,2,1695893279512,1695893281723
7,1,1695893281723,1695893283522
7,2,1695893283522,1695893285415
