stepId,actionId,begin,end
0,0,62,98
1,0,199,223
1,1,224,250
1,2,251,299
2,0,318,329
2,1,330,363
2,2,364,396
3,0,414,426
3,1,433,465
3,2,466,498
4,0,506,523
4,1,529,548
4,2,549,586
5,0,609,628
5,1,639,651
5,2,652,704
6,0,724,737
6,1,744,758
6,2,759,800
