stepId,actionId,begin,end
0,0,0,108
1,0,109,175
1,1,176,230
1,2,231,270
2,0,288,315
2,1,316,349
2,2,350,360
3,0,402,425
3,1,426,485
3,2,486,555
4,0,556,604
4,1,605,640
4,2,641,700
5,0,733,757
5,1,758,790
5,2,791,842
6,0,879,895
6,1,896,931
6,2,932,987
7,0,1009,1033
7,1,1034,1088
7,2,1089,1140
8,0,1165,1188
8,1,1189,1210
8,2,1211,1275
9,0,1290,1313
9,1,1314,1366
9,2,1367,1473
10,0,1500,1516
10,1,1517,1588
10,2,1589,1623
11,0,1631,1672
11,1,1673,1706
11,2,1707,1744
12,0,1776,1795
12,1,1796,1813
12,2,1814,1890
