stepId,actionId,timestamp,duration
0,0,62401173.704,2111.988999992609
1,0,62403317.579,1240.1709999963641
1,1,62404993.567999996,1040.2380000054836
1,2,62406065.872,1711.774000003934
2,0,62408413.78,667.9939999952912
2,1,62409081.774,571.8060000017285
2,2,62409685.68,1843.8959999978542
3,0,62411929.676,1072.155000001192
3,1,62413338.601,503.08099999278784
3,2,62413873.705,2615.97500000149
4,0,62416889.766,803.7849999964237
4,1,62417961.676,972.0230000019073
4,2,62418969.537,2680.2569999992847
5,0,62422789.808,867.8959999978542
5,1,62423761.588,331.9809999987483
5,2,62424129.61000001,1976.11099999398
6,0,62426609.722,703.9900000020862
6,1,62427345.639,735.9710000008345
6,2,62428117.671,1340.0450000017881
7,0,62430261.65,667.887000001967
7,1,62431706.138000004,463.500999994576
7,2,62432205.56200001,3284.08599999547
8,0,62436325.717,535.8659999966621
8,1,62437065.651999995,1136.1220000088215
8,2,62438237.485,1808.1000000014901
9,0,62440549.644,767.8100000023842
9,1,62441589.581,1004.015000000596
9,2,62442625.658,1275.8819999992847
10,0,62444501.545,504.015999995172
10,1,62445073.562,705.5399999991059
10,2,62445809.735,1807.8680000007153
11,0,62447785.597,1140.0149999931455
11,1,62449025.737,839.8499999940395
11,2,62449897.826,1410.9610000029206
12,0,62451741.6,1040.0
12,1,62453449.936,368.85199999809265
12,2,62453853.509,2175.9619999974966
