stepId,actionId,begin,end
0,0,169594011856,169594021591
1,1,169594022527,169594023826
1,2,169594023826,169594025390
2,1,169594026380,169594027084
2,2,169594027084,169594029418
3,1,169594029585,169594030357
3,2,169594030357,169594032012
4,1,169594032616,169594033791
4,2,169594033791,169594035393
5,1,169594036083,169594037023
5,2,169594037023,169594038956
6,1,169594038956,169594040244
6,2,169594040244,169594042760
7,1,169594042760,169594045185
7,2,169594045185,169594047657
8,1,169594047657,169594049490
8,2,169594049490,169594050717
9,1,169594050717,169594052212
9,2,169594052212,169594054913
10,1,169594054913,169594057292
10,2,169594057292,169594058747
11,1,169594058747,169594059923
11,2,169594059923,169594061490
12,1,169594061490,169594063118
12,2,169594063118,169594065357
