stepId,actionId,begin,end
0,0,1695893431570,1695893432387
1,1,1695893432387,1695893435256
1,2,1695893435256,1695893437150
2,1,1695893437150,1695893438658
2,2,1695893438658,1695893439756
3,1,1695893439756,1695893441259
3,2,1695893441259,1695893442913
4,1,1695893442913,1695893444653
4,2,1695893444653,1695893446681
5,1,1695893446681,1695893447886
5,2,1695893447886,1695893448650
6,1,1695893448650,1695893450494
6,2,1695893450494,1695893452126
7,1,1695893452126,1695893453546
7,2,1695893453546,1695893455319
8,1,1695893455319,1695893458546
8,2,1695893458546,1695893458546
9,1,1695893458546,1695893459920
9,2,1695893459920,1695893461421
