stepId,actionId,begin,end
0,0,440,760
1,0,760,775
1,1,776,860
1,2,861,955
2,0,975,1230
2,1,1231,1258
2,2,1259,1330
3,0,1348,1395
3,1,1396,1420
3,2,1421,1500
4,0,1501,1571
4,1,1572,1625
4,2,1626,1694
5,0,1695,1764
5,1,1765,1830
5,2,1831,1940
6,0,1950,2000
6,1,2001,2040
6,2,2040,2120
