stepId,actionId,surfaceId,timestamp,duration
0.0,0.0,-1.0,347612629.76500005,1124.213999927044
1.0,1.0,1.0,347616168.963,536.3550000190735
1.0,1.0,0.0,347616501.17800003,204.13999998569489
1.0,1.0,-1.0,347616768.821,436.9640000462532
1.0,1.0,0.0,347617241.432,412.4470000267029
1.0,1.0,-1.0,347617690.42300004,186.64300000667572
1.0,2.0,2.0,347618213.04,1048.555999994278
1.0,2.0,-1.0,347619294.981,135.4559999704361
1.0,2.0,0.0,347619466.14500004,160.0809999704361
2.0,0.0,-1.0,347620854.04499996,618.2320000529289
2.0,1.0,0.0,347621832.39599997,468.7750000357628
2.0,1.0,1.0,347621832.39599997,501.8880000114441
2.0,2.0,2.0,347622501.215,2179.9560000300407
2.0,2.0,-1.0,347624714.70100003,30.408999979496002
2.0,2.0,0.0,347624781.126,31.897000014781952
3.0,0.0,-1.0,347625696.521,619.8289999365807
3.0,1.0,0.0,347626417.013,69.34999996423721
3.0,1.0,1.0,347626417.013,306.24399995803833
3.0,1.0,-1.0,347626757.929,744.630999982357
3.0,2.0,2.0,347627568.295,209.96399998664856
3.0,2.0,-1.0,347627814.52900004,107.66399991512299
3.0,2.0,2.0,347627959.375,1955.5329999923706
3.0,2.0,2.0,347629999.372,106.94100004434586
3.0,2.0,-1.0,347630140.081,32.73700004816055
3.0,2.0,0.0,347630206.548,97.77300000190735
4.0,0.0,-1.0,347631349.092,936.3090000152588
4.0,1.0,1.0,347632321.064,368.1060000061989
4.0,1.0,0.0,347632454.833,234.33700001239777
4.0,1.0,-1.0,347632726.715,176.4800000190735
4.0,1.0,0.0,347632939.056,97.53900003433228
4.0,1.0,-1.0,347633071.861,757.1559999585152
4.0,2.0,2.0,347634071.977,943.3790000081062
4.0,2.0,-1.0,347635052.23700005,140.24199998378754
5.0,0.0,-1.0,347636018.468,383.3369999527931
5.0,1.0,1.0,347636527.382,365.033999979496
5.0,1.0,0.0,347636672.99,219.42599999904633
5.0,1.0,-1.0,347636922.611,626.4479999542236
5.0,1.0,0.0,347637582.242,130.74500000476837
5.0,1.0,-1.0,347637749.118,67.90100002288818
5.0,2.0,2.0,347638295.375,965.6629999876022
5.0,2.0,-1.0,347639294.11399996,34.307000041007996
5.0,2.0,2.0,347639361.44200003,208.2379999756813
5.0,2.0,-1.0,347639600.339,267.6360000371933
6.0,1.0,3.0,347641165.154,339.86500000953674
6.0,2.0,2.0,347641569.491,413.3299999833107
6.0,2.0,-1.0,347642019.91700006,812.9819999337196
6.0,2.0,2.0,347642866.769,1032.104000031948
6.0,2.0,2.0,347643971.034,599.7080000042915
6.0,2.0,-1.0,347644608.999,141.79900002479553
6.0,2.0,2.0,347644787.695,207.26499998569489
6.0,2.0,2.0,347645066.138,1852.8799999952316
6.0,2.0,2.0,347646985.782,372.9549999833107
6.0,2.0,-1.0,347647400.645,32.00100004673004
7.0,1.0,3.0,347650179.863,81.32400006055832
7.0,2.0,2.0,347650414.57000005,1589.3229999542236
8.0,1.0,3.0,347653633.003,436.5069999694824
8.0,1.0,-1.0,347654104.43299997,70.25900000333786
8.0,2.0,2.0,347654306.205,1657.4030000567436
9.0,0.0,-1.0,347657090.839,559.6870000362396
9.0,1.0,3.0,347657966.463,190.50800001621246
9.0,1.0,-1.0,347658189.62700003,235.44699996709824
9.0,2.0,2.0,347658493.074,1914.611999988556
9.0,2.0,2.0,347660475.779,200.32099997997284
9.0,2.0,-1.0,347660708.467,206.19499999284744
