stepId,actionId,surfaceId,timestamp,duration
0.0,0.0,-1.0,347769791.389,994.1259999871254
0.0,0.0,0.0,347770818.336,235.8429999947548
0.0,0.0,0.0,347771121.21900004,64.11799997091293
0.0,0.0,-1.0,347771221.26600003,1676.0479999780655
1.0,0.0,0.0,347773433.173,142.94700002670288
1.0,0.0,-1.0,347773605.32600003,159.78399991989136
1.0,0.0,0.0,347773801.352,131.91400003433228
1.0,0.0,-1.0,347773969.285,31.955999970436096
1.0,1.0,1.0,347774137.261,668.1220000386238
1.0,1.0,-1.0,347774841.118,132.07200002670288
1.0,1.0,0.0,347775005.276,103.95700001716614
1.0,1.0,-1.0,347775141.223,368.0849999785423
1.0,2.0,2.0,347775613.59099996,73.77400004863739
1.0,2.0,3.0,347775613.59099996,36.17100006341934
1.0,2.0,-1.0,347775726.6,147.93699997663498
1.0,2.0,2.0,347775914.54,1118.7349999547005
1.0,2.0,-1.0,347777068.439,34.68199998140335
1.0,2.0,2.0,347777141.184,76.95700001716614
1.0,2.0,-1.0,347777258.516,407.6870000362396
2.0,1.0,1.0,347778816.326,380.78500002622604
2.0,1.0,-1.0,347779229.84400004,167.3849999308586
2.0,1.0,0.0,347779429.349,503.8190000653267
2.0,1.0,-1.0,347779967.74799997,65.36700004339218
2.0,2.0,2.0,347780309.158,110.94999998807907
2.0,2.0,-1.0,347780460.88600004,348.86799997091293
2.0,2.0,2.0,347780843.717,945.9789999723434
2.0,2.0,2.0,347781865.45600003,288.0450000166893
2.0,2.0,-1.0,347782189.98099995,143.87500005960464
3.0,1.0,1.0,347783453.407,1104.5529999732971
3.0,1.0,-1.0,347784591.34599996,34.00100004673004
3.0,2.0,2.0,347784757.122,169.273000061512
3.0,2.0,-1.0,347784961.082,749.4389999508858
3.0,2.0,2.0,347785743.87,93.56400001049042
3.0,2.0,-1.0,347785871.721,412.8090000152588
4.0,0.0,-1.0,347787641.129,167.99699997901917
4.0,1.0,3.0,347788418.04999995,407.5720000267029
4.0,1.0,2.0,347788894.22,554.4169999361038
4.0,1.0,3.0,347789481.562,778.6520000100136
4.0,1.0,-1.0,347790296.588,102.83799999952316
4.0,2.0,2.0,347790467.95100003,68.40399998426437
4.0,2.0,-1.0,347790570.064,533.5270000100136
4.0,2.0,2.0,347791136.547,231.93900001049042
4.0,2.0,-1.0,347791399.967,32.90299999713898
4.0,2.0,2.0,347791466.607,133.22200000286102
4.0,2.0,-1.0,347791634.25200003,204.12199997901917
5.0,0.0,-1.0,347792343.745,706.5960000157356
5.0,1.0,3.0,347793522.795,81.87499994039536
5.0,1.0,3.0,347793673.151,239.74099999666214
5.0,1.0,-1.0,347793948.246,133.8550000190735
5.0,2.0,2.0,347794181.86200005,975.4849998950958
5.0,2.0,2.0,347795225.767,140.17599999904633
5.0,2.0,-1.0,347795402.32699996,234.6010000705719
6.0,0.0,0.0,347797125.202,102.82799994945526
6.0,1.0,3.0,347797694.24799997,635.8260000348091
6.0,1.0,-1.0,347798365.176,233.2049999833107
6.0,1.0,3.0,347798633.254,131.9219999909401
6.0,2.0,2.0,347798801.275,232.86600005626678
6.0,2.0,2.0,347799101.391,199.91100001335144
6.0,2.0,2.0,347799370.087,735.6469999551773
7.0,1.0,3.0,347801622.232,197.3299999833107
7.0,1.0,-1.0,347801854.673,67.28500002622604
7.0,2.0,2.0,347801956.741,195.00800001621246
7.0,2.0,-1.0,347802185.297,63.921999990940094
7.0,2.0,2.0,347802285.342,68.01899999380112
7.0,2.0,-1.0,347802386.36200005,198.93699997663498
7.0,2.0,2.0,347802621.138,1277.0249999761581
7.0,2.0,-1.0,347803935.94200003,98.22899997234344
8.0,0.0,-1.0,347805352.425,32.264999985694885
8.0,2.0,2.0,347806173.23,1340.0429999828339
9.0,1.0,-1.0,347809968.603,280.0979999899864
9.0,2.0,3.0,347810420.86,67.82099997997284
9.0,2.0,-1.0,347810523.13,70.49399995803833
9.0,2.0,2.0,347810629.385,99.99000000953674
9.0,2.0,2.0,347810800.936,297.0069999694824
9.0,2.0,-1.0,347811134.339,98.88300001621246
9.0,2.0,2.0,347811265.244,912.5709999799728
9.0,2.0,-1.0,347812209.602,27.735000014305115
9.0,2.0,2.0,347812269.413,203.7810000181198
9.0,2.0,-1.0,347812512.528,37.24899995326996
