stepId,actionId,timestamp,duration
0,0,354663994.00200003,1807.9509999752045
1,0,354665837.882,1036.1609999537468
1,1,354666974.019,840.341000020504
1,2,354667845.958,2211.907000005245
2,0,354670961.899,803.9800000190735
2,1,354671802.047,735.8260000348091
2,2,354672574.108,2579.7110000252724
3,0,354675957.84400004,904.0219999551773
3,1,354676894.10899997,672.6000000238419
3,2,354677605.37,2236.477999985218
4,0,354681050.12,803.7269999980927
4,1,354681921.829,436.1090000271797
4,2,354682389.87299997,1508.0210000276566
5,0,354684633.99399996,503.7880000472069
5,1,354685137.782,772.1640000343323
5,2,354685941.969,1308.1129999756813
6,0,354688021.991,972.0110000371933
6,1,354689194.64100003,835.1359999775887
6,2,354690065.96099997,2811.8080000281334
7,0,354693850.046,839.9620000123978
7,1,354694789.872,804.1039999723434
7,2,354695626.437,1875.513000011444
8,0,354698777.827,804.4299999475479
8,1,354699614.126,839.8800000548363
8,2,354700486.0,2748.0289999842644
9,0,354704205.938,636.1330000162125
9,1,354705010.037,535.9370000362396
9,2,354705577.874,3052.035000026226
