stepId,actionId,timestamp,duration
0,0,347612595.52099997,1158.4580000042915
1,0,347613789.18700004,2177.9139999747276
1,1,347616002.87700003,1874.1890000104904
1,2,347614459.595,5166.630999982357
2,0,347620854.04499996,618.2320000529289
2,1,347621505.795,859.1610000133514
2,2,347622401.045,2411.977999985218
3,0,347625696.521,619.8289999365807
3,1,347626350.145,1152.4150000214577
3,2,347627536.27,2768.0509999990463
4,0,347631349.092,936.3090000152588
4,1,347632321.064,1507.9529999494553
4,2,347633862.009,1330.4700000286102
5,0,347636018.468,383.3369999527931
5,1,347636434.018,1383.0009999871254
5,2,347637851.378,2016.597000002861
6,0,347640290.20500004,658.4939999580383
6,1,347640977.911,559.7579999566078
6,2,347631313.039,16119.607000052929
7,0,347648379.535,1231.5249999761581
7,1,347649645.111,655.2919999957085
7,2,347650341.037,1695.7229999899864
8,0,347652609.89199996,665.4110000133514
8,1,347653309.585,865.1069999933243
8,2,347654207.574,1789.516000032425
9,0,347657090.839,559.6870000362396
9,1,347657682.838,742.2360000014305
9,2,347658458.597,2456.064999997616
