world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf
354961.570191,0,0,354961.43724999996,219.97500001452863,0.9109224070973879,7.1229681968688965,4.867778301239014,7.1229681968688965,4.867778301239014,False
354961.60459,1,0,354961.43724999996,219.97500001452863,0.9109224070973879,6.1796979904174805,4.212118148803711,6.1796979904174805,4.212118148803711,False
354961.634436,2,0,354961.43724999996,219.97500001452863,0.9109224070973879,6.215446472167969,4.231531620025635,6.215446472167969,4.231531620025635,False
354961.666291,3,0,354961.43724999996,219.97500001452863,0.9109224070973879,6.2043070793151855,4.226126670837402,6.2043070793151855,4.226126670837402,False
354961.666291,3,1,354961.665188,208.05399998789653,0.6259525498586934,6.003541469573975,4.146551609039307,6.003541469573975,4.146551609039307,False
354961.69838,4,1,354961.665188,208.05399998789653,0.6259525498586934,6.006441593170166,4.140572547912598,6.006441593170166,4.140572547912598,False
354961.734442,5,1,354961.665188,208.05399998789653,0.6259525498586934,6.067314624786377,4.167057514190674,6.067314624786377,4.167057514190674,False
354961.766328,6,1,354961.665188,208.05399998789653,0.6259525498586934,6.0636467933654785,4.160691261291504,6.0636467933654785,4.160691261291504,False
354961.802469,7,1,354961.665188,208.05399998789653,0.6259525498586934,6.973154067993164,4.803370952606201,6.973154067993164,4.803370952606201,False
354961.834373,8,1,354961.665188,208.05399998789653,0.6259525498586934,5.997776031494141,4.12696647644043,5.997776031494141,4.12696647644043,False
354961.866324,9,1,354961.665188,208.05399998789653,0.6259525498586934,6.894520282745361,4.730340957641602,6.894520282745361,4.730340957641602,False
354961.934292,11,2,354961.933598,119.63600001763552,2.8723535864087144,5.8546953201293945,1.6390515565872192,5.8546953201293945,1.6390515565872192,False
354961.966323,12,2,354961.933598,119.63600001763552,2.8723535864087144,5.2928690910339355,1.496101975440979,5.2928690910339355,1.496101975440979,False
354962.00229699997,13,2,354961.933598,119.63600001763552,2.8723535864087144,5.273137092590332,1.483502984046936,5.273137092590332,1.483502984046936,False
354962.034332,14,2,354961.933598,119.63600001763552,2.8723535864087144,5.254827499389648,1.4734702110290527,5.254827499389648,1.4734702110290527,False
354962.070309,15,2,354961.933598,119.63600001763552,2.8723535864087144,5.245631217956543,1.464108943939209,5.245631217956543,1.464108943939209,False
354962.070309,15,3,354962.06119499996,215.9770000143908,1.8162776478318892,5.005035400390625,1.4626299142837524,5.005035400390625,1.4626299142837524,False
354962.102349,16,3,354962.06119499996,215.9770000143908,1.8162776478318892,5.401723861694336,1.550615668296814,5.401723861694336,1.550615668296814,False
354962.134364,17,3,354962.06119499996,215.9770000143908,1.8162776478318892,5.367019176483154,1.5340323448181152,5.367019176483154,1.5340323448181152,False
354962.170276,18,3,354962.06119499996,215.9770000143908,1.8162776478318892,5.410683631896973,1.533793330192566,5.410683631896973,1.533793330192566,False
354962.202279,19,3,354962.06119499996,215.9770000143908,1.8162776478318892,5.337587833404541,1.5182020664215088,5.337587833404541,1.5182020664215088,False
354962.234339,20,3,354962.06119499996,215.9770000143908,1.8162776478318892,5.4064860343933105,1.529357671737671,5.4064860343933105,1.529357671737671,False
354962.270816,21,3,354962.06119499996,215.9770000143908,1.8162776478318892,5.338748931884766,1.5215623378753662,5.338748931884766,1.5215623378753662,False
354962.270816,21,4,354962.28515999997,92.04900002805516,0.5235389586367982,5.212331771850586,1.3950481414794922,5.212331771850586,1.3950481414794922,False
354962.303037,22,4,354962.28515999997,92.04900002805516,0.5235389586367982,5.3034281730651855,1.4023219347000122,5.3034281730651855,1.4023219347000122,False
354962.338246,23,4,354962.28515999997,92.04900002805516,0.5235389586367982,5.2179975509643555,1.3912478685379028,5.2179975509643555,1.3912478685379028,False
354962.370281,24,4,354962.28515999997,92.04900002805516,0.5235389586367982,5.208636283874512,1.3895012140274048,5.208636283874512,1.3895012140274048,False
354962.402387,25,5,354962.413329,215.9269999829121,2.6637161579165416,5.036592960357666,2.2034571170806885,5.036592960357666,2.2034571170806885,False
354962.438277,26,5,354962.413329,215.9269999829121,2.6637161579165416,4.640955448150635,2.047597646713257,4.640955448150635,2.047597646713257,False
354962.470264,27,5,354962.413329,215.9269999829121,2.6637161579165416,4.661495685577393,2.051414728164673,4.661495685577393,2.051414728164673,False
354962.502368,28,5,354962.413329,215.9269999829121,2.6637161579165416,5.020973205566406,2.1996817588806152,5.020973205566406,2.1996817588806152,False
354962.538215,29,5,354962.413329,215.9269999829121,2.6637161579165416,5.02909517288208,2.1998820304870605,5.02909517288208,2.1998820304870605,False
354962.570207,30,5,354962.413329,215.9269999829121,2.6637161579165416,4.618394374847412,2.0353713035583496,4.618394374847412,2.0353713035583496,False
354962.606309,31,5,354962.413329,215.9269999829121,2.6637161579165416,5.011533260345459,2.191765785217285,5.011533260345459,2.191765785217285,False
354962.63815199997,32,5,354962.413329,215.9269999829121,2.6637161579165416,5.014501571655273,2.188185453414917,5.014501571655273,2.188185453414917,False
354962.63815199997,32,6,354962.64134699997,83.7840000167489,0.34113798707214055,4.94066047668457,2.2600057125091553,4.94066047668457,2.2600057125091553,False
354962.670244,33,6,354962.64134699997,83.7840000167489,0.34113798707214055,4.901522636413574,2.2414867877960205,4.901522636413574,2.2414867877960205,False
354962.706279,34,6,354962.64134699997,83.7840000167489,0.34113798707214055,4.530631065368652,2.0749306678771973,4.530631065368652,2.0749306678771973,False
354962.738294,35,6,354962.64134699997,83.7840000167489,0.34113798707214055,4.930293083190918,2.2295050621032715,4.930293083190918,2.2295050621032715,False
