Timestamp,x,y
1685544144792,nan,nan
1685544144792,nan,nan
1685544144808,nan,nan
1685544144823,nan,nan
1685544144839,nan,nan
1685544144845,nan,nan
1685544144861,nan,nan
1685544144861,nan,nan
1685544144877,nan,nan
1685544144893,nan,nan
1685544144893,nan,nan
1685544144908,nan,nan
1685544144924,nan,nan
1685544144939,nan,nan
1685544144946,nan,nan
1685544144946,nan,nan
1685544144962,nan,nan
1685544144977,nan,nan
1685544144993,nan,nan
1685544144993,nan,nan
1685544145009,nan,nan
1685544145024,nan,nan
1685544145040,nan,nan
1685544145046,nan,nan
1685544145046,nan,nan
1685544145062,nan,nan
1685544145078,nan,nan
1685544145094,nan,nan
1685544145094,nan,nan
1685544145109,nan,nan
1685544145125,nan,nan
1685544145125,nan,nan
1685544145147,nan,nan
1685544145147,nan,nan
1685544145163,nan,nan
1685544145178,nan,nan
1685544145194,nan,nan
1685544145194,nan,nan
1685544145210,nan,nan
1685544145225,nan,nan
1685544145225,nan,nan
1685544145247,nan,nan
1685544145247,nan,nan
1685544145263,nan,nan
1685544145279,nan,nan
1685544145294,nan,nan
1685544145294,nan,nan
1685544145310,nan,nan
1685544145326,nan,nan
1685544145326,nan,nan
1685544145348,nan,nan
1685544145348,nan,nan
1685544145363,nan,nan
1685544145379,nan,nan
1685544145379,nan,nan
1685544145395,nan,nan
1685544145410,nan,nan
1685544145426,nan,nan
1685544145442,nan,nan
1685544145448,nan,nan
1685544145463,nan,nan
1685544145479,nan,nan
1685544145495,nan,nan
1685544145495,nan,nan
1685544145510,nan,nan
1685544145526,nan,nan
1685544145526,nan,nan
1685544145548,nan,nan
1685544145548,nan,nan
1685544145564,nan,nan
1685544145580,nan,nan
1685544145595,nan,nan
1685544145595,0.69,0.54
1685544145611,0.69,0.54
1685544145626,0.69,0.54
1685544145626,0.6160871982574463,0.46438702940940857
1685544145648,0.6160871982574463,0.46438702940940857
1685544145648,0.6160871982574463,0.46438702940940857
1685544145664,0.6034451723098755,0.4607153832912445
1685544145680,0.64,0.45
1685544145696,0.64,0.46
1685544145696,0.65,0.47
1685544145711,0.65,0.53
1685544145727,0.67,0.54
1685544145727,0.68,0.52
1685544145749,0.65,0.47
1685544145749,0.65,0.46
1685544145765,0.64,0.46
1685544145780,0.65,0.47
1685544145796,0.64,0.45
1685544145796,0.64,0.42
1685544145812,0.62,0.42
1685544145827,0.63,0.46
1685544145827,0.64,0.47
1685544145849,0.65,0.48
1685544145849,0.65,0.47
1685544145865,0.65,0.48
1685544145881,0.64,0.53
1685544145896,0.59,0.51
1685544145896,0.55,0.51
1685544145912,0.55,0.46
1685544145928,0.55,0.47
1685544145928,0.55,0.47
1685544145950,0.55,0.48
1685544145950,0.55,0.46
1685544145965,0.53,0.47
1685544145981,0.5,0.46
1685544145981,0.49,0.46
