key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,05.07.2023
Export Time,16:25:45
Frame Index Range:,0 - 1991
Relative Time Range,00:00.000 - 01:07.517
Absolute Time Range,347877.624169 - 347945.141413
