# timestamps [seconds],pts
-549092.674078,2453685
-549092.627687,2456725
-549092.581363,2459761
-549092.533597,2462892
-549092.486906,2465951
-549092.442201,2468881
-549092.397385,2471818
-549092.355491,2474564
-549092.309965,2477547
-549092.266764,2480378
-549092.222153,2483302
-549092.176467,2486296
-549092.133543,2489109
-549092.091514,2491863
-549092.049002,2494649
-549092.009524,2497237
-549091.970018,2499826
-549091.929440,2502485
-549091.887168,2505255
-549091.842734,2508167
-549091.801942,2510841
-549091.754818,2513929
-549091.714245,2516588
-549091.672532,2519321
-549091.631486,2522011
-549091.590958,2524667
-549091.549869,2527360
-549091.507562,2530133
-549091.465167,2532911
-549091.423025,2535673
-549091.378339,2538601
-549091.336076,2541371
-549091.296034,2543995
-549091.254028,2546748
-549091.210750,2549584
-549091.168127,2552378
-549091.123519,2555301
-549091.078307,2558264
-549091.034772,2561117
-549090.989313,2564096
-549090.944054,2567062
-549090.898648,2570038
-549090.848648,2573315
-549090.798860,2576577
-549090.748500,2579878
-549090.699169,2583111
-549090.651474,2586236
-549090.604256,2589331
-549090.554757,2592575
-549090.502667,2595989
-549090.455430,2599084
-549090.409899,2602068
-549090.364243,2605060
-549090.319984,2607961
-549090.273603,2611000
-549090.225731,2614138
-549090.180351,2617111
-549090.137253,2619936
-549090.095569,2622668
-549090.048556,2625749
-549090.003631,2628693
-549089.959480,2631586
-549089.908828,2634906
-549089.865160,2637768
-549089.818366,2640834
-549089.770240,2643988
-549089.725296,2646934
-549089.678976,2649969
-549089.633984,2652918
-549089.587765,2655947
-549089.537385,2659248
-549089.491607,2662248
-549089.445413,2665276
-549089.398752,2668334
-549089.351177,2671451
-549089.302549,2674638
-549089.254242,2677804
-549089.207597,2680861
-549089.159067,2684041
-549089.113214,2687046
-549089.067877,2690017
-549089.019877,2693163
-549088.973440,2696206
-549088.926312,2699295
-549088.880569,2702293
-549088.833434,2705382
-549088.783427,2708659
-549088.735762,2711783
-549088.685330,2715088
-549088.635869,2718329
-549088.587595,2721493
-549088.541598,2724507
-549088.496790,2727444
-549088.451368,2730420
-549088.406284,2733375
-549088.363467,2736181
-549088.317464,2739196
-549088.275923,2741918
-549088.233939,2744670
-549088.191039,2747481
-549088.148495,2750269
-549088.105669,2753076
-549088.058110,2756193
-549088.016681,2758908
-549087.974817,2761651
-549087.931417,2764495
-549087.889761,2767225
-549087.848591,2769923
-549087.806683,2772670
-549087.765354,2775378
-549087.719503,2778383
-549087.672638,2781454
-549087.629508,2784281
-549087.586629,2787091
-549087.539471,2790182
-549087.496327,2793009
-549087.450798,2795993
-549087.405740,2798946
-549087.358325,2802053
-549087.312023,2805087
-549087.269510,2807873
-549087.225370,2810766
-549087.179948,2813743
-549087.137369,2816533
-549087.096430,2819216
-549087.055379,2821907
-549087.009858,2824890
-549086.967650,2827656
-549086.923553,2830546
-549086.884186,2833126
-549086.846184,2835616
-549086.808420,2838091
-549086.765437,2840908
-549086.722302,2843735
-549086.678417,2846611
-549086.632428,2849625
-549086.585812,2852680
-549086.540365,2855658
-549086.496963,2858502
-549086.448686,2861666
-549086.404163,2864584
-549086.358180,2867597
-549086.314028,2870491
-549086.268808,2873454
-549086.227937,2876133
-549086.187010,2878815
-549086.145527,2881534
-549086.103673,2884277
-549086.062617,2886967
-549086.018052,2889888
-549085.976651,2892601
-549085.932678,2895483
-549085.888357,2898387
-549085.847128,2901089
-549085.801455,2904082
-549085.757228,2906981
-549085.714047,2909811
-549085.665728,2912977
-549085.624821,2915658
-549085.583490,2918367
-549085.537762,2921364
-549085.492964,2924299
-549085.449538,2927145
-549085.405608,2930024
-549085.361033,2932945
-549085.313366,2936069
-549085.267902,2939049
-549085.220948,2942126
-549085.174465,2945172
-549085.125029,2948412
-549085.078563,2951457
-549085.032798,2954456
-549084.985125,2957581
-549084.937818,2960681
-549084.888620,2963905
-549084.840821,2967038
-549084.792256,2970220
-549084.740427,2973617
-549084.698256,2976381
-549084.659013,2978952
-549084.620288,2981490
-549084.577642,2984285
-549084.532807,2987223
-549084.487896,2990167
-549084.440983,2993241
-549084.393937,2996324
-549084.345716,2999484
-549084.297733,3002629
-549084.249515,3005789
-549084.202496,3008870
-549084.155067,3011978
-549084.108923,3015003
-549084.061334,3018121
-549084.013531,3021254
-549083.964976,3024436
-549083.917982,3027516
-549083.868667,3030748
-549083.820069,3033933
-549083.770071,3037209
-549083.721049,3040422
-549083.673992,3043506
-549083.629191,3046442
-549083.583373,3049444
-549083.533624,3052705
-549083.487800,3055708
-549083.442829,3058655
-549083.399903,3061468
-549083.356340,3064323
-549083.314032,3067096
-549083.272796,3069798
-549083.231547,3072501
-549083.189473,3075259
-549083.147388,3078017
-549083.104435,3080832
-549083.062981,3083548
-549083.020577,3086327
-549082.976681,3089204
-549082.933004,3092066
-549082.891098,3094813
-549082.849765,3097521
-549082.806394,3100364
-549082.760722,3103357
-549082.716369,3106264
-549082.669810,3109315
-549082.628937,3111993
-549082.586029,3114805
-549082.542068,3117686
-549082.498787,3120523
-549082.456404,3123300
-549082.414899,3126020
-549082.372263,3128815
-549082.328693,3131670
-549082.285000,3134533
-549082.241137,3137408
-549082.197884,3140242
-549082.157423,3142894
-549082.114668,3145696
-549082.072664,3148449
-549082.031415,3151152
-549081.990214,3153852
-549081.946757,3156700
-549081.903641,3159526
-549081.859900,3162392
-549081.818440,3165109
-549081.780751,3167579
-549081.742592,3170080
-549081.703956,3172612
-549081.665988,3175100
-549081.626753,3177672
-549081.587983,3180212
-549081.547890,3182840
-549081.504744,3185667
-549081.457844,3188741
-549081.416822,3191429
-549081.375606,3194130
-549081.335277,3196773
-549081.294146,3199469
-549081.253389,3202140
-549081.211578,3204880
-549081.170804,3207552
-549081.130351,3210203
-549081.089138,3212904
-549081.049265,3215517
-549081.005658,3218375
-549080.963528,3221136
-549080.918969,3224056
-549080.876561,3226835
-549080.833264,3229673
-549080.787247,3232689
-549080.740991,3235720
-549080.695716,3238687
-549080.649927,3241688
-549080.602423,3244801
-549080.557305,3247758
-549080.511197,3250779
-549080.466601,3253702
-549080.421330,3256669
-549080.378497,3259476
-549080.333621,3262417
-549080.289662,3265298
-549080.249561,3267926
-549080.205377,3270821
-549080.160178,3273784
-549080.116756,3276629
-549080.071906,3279568
-549080.028443,3282417
-549079.983035,3285393
-549079.938256,3288327
-549079.895223,3291147
-549079.852181,3293968
-549079.806930,3296934
-549079.763522,3299778
-549079.719735,3302648
-549079.677648,3305406
-549079.634517,3308233
-549079.587620,3311306
-549079.544158,3314154
-549079.499491,3317082
-549079.455617,3319957
-549079.411377,3322856
-549079.366016,3325829
-549079.321683,3328734
-549079.275913,3331734
-549079.228659,3334831
-549079.182463,3337858
-549079.136784,3340852
-549079.088568,3344011
-549079.038587,3347287
-549078.992225,3350325
-549078.944384,3353461
-549078.895397,3356671
-549078.847711,3359796
-549078.789454,3363614
-549078.741948,3366727
-549078.693662,3369892
-549078.643920,3373151
-549078.593773,3376438
-549078.545714,3379587
-549078.496240,3382830
-549078.446945,3386060
-549078.399095,3389196
-549078.355197,3392073
-549078.312579,3394866
-549078.263534,3398080
-549078.212889,3401399
-549078.163746,3404620
-549078.115130,3407806
-549078.066019,3411024
-549078.017644,3414194
-549077.969495,3417350
-549077.920796,3420541
-549077.874753,3423559
-549077.826730,3426706
-549077.780384,3429743
-549077.734155,3432773
-549077.689275,3435714
-549077.645458,3438586
-549077.601582,3441461
-549077.558411,3444290
-549077.513997,3447201
-549077.468901,3450156
-549077.421430,3453267
-549077.375560,3456273
-549077.330611,3459219
-549077.285156,3462198
-549077.241113,3465084
-549077.198332,3467888
-549077.151523,3470956
-549077.109322,3473721
-549077.066625,3476520
-549077.023496,3479346
-549076.981684,3482086
-549076.935184,3485133
-549076.894386,3487807
-549076.855069,3490384
-549076.815617,3492969
-549076.773983,3495698
-549076.733853,3498328
-549076.693493,3500973
-549076.654468,3503530
-549076.614178,3506171
-549076.574272,3508786
-549076.535804,3511307
-549076.495906,3513922
-549076.456920,3516477
-549076.417009,3519092
-549076.375830,3521791
-549076.336656,3524358
-549076.300275,3526742
-549076.263924,3529125
-549076.226352,3531587
-549076.190119,3533961
-549076.151032,3536523
-549076.112388,3539055
-549076.071096,3541762
-549076.027215,3544637
-549075.985031,3547402
-549075.943792,3550104
-549075.901539,3552873
-549075.860454,3555566
-549075.817595,3558375
-549075.771064,3561424
-549075.728587,3564208
-549075.684070,3567125
-549075.640759,3569964
-549075.597442,3572802
-549075.555216,3575570
-549075.513813,3578283
-549075.472612,3580983
-549075.431843,3583655
-549075.391070,3586327
-549075.349200,3589071
-549075.308287,3591752
-549075.265762,3594539
-549075.224376,3597251
-549075.181600,3600055
-549075.139752,3602797
-549075.098916,3605473
-549075.057530,3608186
-549075.016204,3610894
-549074.974224,3613645
-549074.932274,3616394
-549074.889882,3619172
-549074.845925,3622053
-549074.803907,3624807
-549074.761558,3627582
-549074.718057,3630433
-549074.673438,3633357
-549074.627042,3636398
-549074.585128,3639144
-549074.540140,3642093
-549074.494046,3645113
-549074.449932,3648004
-549074.405307,3650929
-549074.360059,3653894
-549074.308943,3657244
-549074.263101,3660248
-549074.215413,3663374
-549074.168251,3666464
-549074.120781,3669575
-549074.073493,3672674
-549074.024645,3675876
-549073.974100,3679188
-549073.925806,3682353
-549073.875449,3685653
-549073.827015,3688827
-549073.783057,3691708
-549073.738213,3694647
-549073.695628,3697438
-549073.649241,3700478
-549073.605608,3703337
-549073.560126,3706318
-549073.515679,3709231
-549073.469742,3712241
-549073.426139,3715099
-549073.387834,3717609
-549073.348462,3720189
-549073.307244,3722891
-549073.264977,3725661
-549073.221044,3728540
-549073.176699,3731446
-549073.130329,3734485
-549073.084982,3737456
-549073.038976,3740471
-549072.995094,3743347
-549072.951770,3746187
-549072.905999,3749186
-549072.864224,3751924
-549072.821482,3754725
-549072.780281,3757425
-549072.736667,3760283
-549072.692995,3763145
-549072.643080,3766417
-549072.599584,3769267
-549072.557777,3772007
-549072.517273,3774661
-549072.474065,3777493
-549072.430277,3780363
-549072.385257,3783313
-549072.341562,3786177
-549072.296238,3789147
-549072.250928,3792116
-549072.207862,3794939
