# timestamps [seconds],pts
-549124.239455,385021
-549124.231512,385542
-549124.223394,386074
-549124.215501,386591
-549124.207488,387116
-549124.195433,387906
-549124.187452,388429
-549124.179470,388952
-549124.167796,389717
-549124.163241,390016
-549124.154386,390596
-549124.147461,391050
-549124.139490,391572
-549124.128837,392270
-549124.119166,392904
-549124.111505,393406
-549124.099778,394175
-549124.090717,394769
-549124.079491,395504
-549124.071490,396029
-549124.060405,396755
-549124.050823,397383
-549124.039852,398102
-549124.035149,398410
-549124.025779,399024
-549124.014614,399756
-549124.004876,400394
-549123.993744,401124
-549123.984047,401759
-549123.979482,402058
-549123.968541,402775
-549123.958965,403403
-549123.951489,403893
-549123.943392,404424
-549123.935471,404943
-549123.927482,405466
-549123.919458,405992
-549123.911477,406515
-549123.903460,407041
-549123.895461,407565
-549123.884893,408257
-549123.879499,408611
-549123.870237,409218
-549123.859488,409922
-549123.850123,410536
-549123.838738,411282
-549123.828972,411922
-549123.818106,412634
-549123.808232,413281
-549123.795924,414088
-549123.791053,414407
-549123.779990,415132
-549123.770048,415784
-549123.758607,416533
-549123.751404,417006
-549123.738580,417846
-549123.727519,418571
-549123.715895,419333
-549123.706349,419958
-549123.695109,420695
-549123.684368,421399
-549123.673147,422134
-549123.662320,422844
-549123.650977,423587
-549123.641530,424206
-549123.630404,424935
-549123.620851,425561
-549123.610015,426271
-549123.600971,426864
-549123.590463,427553
-549123.581126,428165
-549123.570405,428867
-549123.560797,429497
-549123.549795,430218
-549123.543474,430632
-549123.535500,431155
-549123.523414,431947
-549123.512409,432668
-549123.504279,433201
-549123.493559,433903
-549123.484722,434483
-549123.475426,435092
-549123.467230,435629
-549123.459483,436137
-549123.450170,436747
-549123.439489,437447
-549123.431047,438000
-549123.423441,438499
-549123.415508,439018
-549123.407272,439558
-549123.399479,440069
-549123.390242,440674
-549123.383561,441112
-549123.373239,441789
-549123.365386,442303
-549123.355376,442959
-549123.345228,443624
-549123.335347,444272
-549123.326959,444822
-549123.322259,445130
-549123.315441,445576
-549123.307450,446100
-549123.299447,446625
-549123.291408,447151
-549123.283371,447678
-549123.271493,448456
-549123.263421,448985
-549123.255460,449507
-549123.247449,450032
-549123.239451,450556
-549123.231492,451078
-549123.223345,451612
-549123.215489,452127
-549123.207478,452652
-549123.199479,453176
-549123.187411,453967
-549123.179468,454487
-549123.171443,455013
-549123.163398,455540
-549123.155349,456068
-549123.147454,456585
-549123.139317,457119
-549123.131300,457644
-549123.123410,458161
-549123.111570,458937
-549123.101980,459566
-549123.090271,460333
-549123.079707,461025
-549123.072835,461476
-549123.068097,461786
-549123.063399,462094
-549123.055482,462613
-549123.047470,463138
-549123.039430,463665
-549123.031501,464184
-549123.019429,464976
-549123.011462,465498
-549123.003394,466026
-549122.995452,466547
-549122.987479,467069
-549122.979442,467596
-549122.971468,468119
-549122.963422,468646
-549122.955367,469174
-549122.947484,469690
-549122.935486,470477
-549122.927503,471000
-549122.919418,471530
-549122.911469,472051
-549122.899928,472807
-549122.894476,473164
-549122.882840,473927
-549122.872466,474607
-549122.860742,475375
-549122.850146,476069
-549122.838490,476833
-549122.827450,477557
-549122.819462,478080
-549122.811461,478605
-549122.803448,479130
-549122.791578,479908
-549122.786586,480235
-549122.774116,481052
-549122.764112,481708
-549122.752151,482492
-549122.747723,482782
-549122.742660,483114
-549122.735486,483584
-549122.727488,484108
-549122.716792,484809
-549122.704725,485600
-549122.691781,486448
-549122.680277,487202
