key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,15.11.2023
Export Time,10:39:41
Frame Index Range:,0 - 1337
Relative Time Range,00:00.000 - 00:59.610
Absolute Time Range,-549130.11492 - -549070.504905
