timestamp,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_pupil_validity,right_pupil_validity
1698048213343,"(0.5498241361272044, 0.6987470051096266)","(nan, nan)",3,0
1698048213360,"(0.5516275971980659, 0.7100339379123793)","(nan, nan)",3,0
1698048213375,"(0.5548347652914105, 0.6860873580885535)","(nan, nan)",3,0
1698048213392,"(0.5499238650941461, 0.6692216134772162)","(nan, nan)",3,0
1698048213410,"(0.5526645391745723, 0.6555154570329582)","(nan, nan)",3,0
1698048213425,"(0.5557387348031915, 0.6628271353738876)","(nan, nan)",3,0
1698048213440,"(0.5518772779061925, 0.6970502463928266)","(nan, nan)",3,0
1698048213455,"(nan, nan)","(nan, nan)",0,0
1698048213473,"(nan, nan)","(nan, nan)",0,0
1698048213488,"(0.5956846306010374, 0.6922843233547135)","(nan, nan)",3,0
1698048213504,"(nan, nan)","(nan, nan)",0,0
1698048213521,"(nan, nan)","(nan, nan)",0,0
1698048213538,"(nan, nan)","(nan, nan)",0,0
1698048213556,"(0.6089288548901748, 0.7077730331544169)","(nan, nan)",3,0
1698048213571,"(0.542192635099553, 0.7041384883367092)","(nan, nan)",3,0
1698048213588,"(0.6062697431849613, 0.585151508791698)","(nan, nan)",3,0
1698048213603,"(0.5411698298858119, 0.7209801610710165)","(nan, nan)",3,0
1698048213621,"(0.5483416008189672, 0.6666091975918554)","(nan, nan)",3,0
1698048213636,"(0.5475019424010403, 0.6640331981358475)","(nan, nan)",3,0
1698048213651,"(0.544856294378026, 0.6685469836927628)","(nan, nan)",3,0
1698048213669,"(0.547649306745531, 0.6596314393912637)","(nan, nan)",3,0
1698048213684,"(nan, nan)","(nan, nan)",0,0
1698048213702,"(0.5500309269919279, 0.654189960727273)","(nan, nan)",3,0
1698048213717,"(0.5533276570026645, 0.7025676440536038)","(nan, nan)",3,0
1698048213732,"(0.5530386632424763, 0.7119084581826312)","(nan, nan)",3,0
1698048213746,"(nan, nan)","(nan, nan)",0,0
1698048213764,"(0.5488401614240362, 0.7150985991167097)","(nan, nan)",3,0
1698048213781,"(0.5573593438574738, 0.7275878913157253)","(nan, nan)",3,0
1698048213796,"(0.5589413889926376, 0.7028543462813063)","(nan, nan)",3,0
1698048213811,"(nan, nan)","(nan, nan)",0,0
1698048213829,"(0.5417585785272989, 0.6911288732572781)","(nan, nan)",3,0
1698048213844,"(nan, nan)","(nan, nan)",0,0
