stepId,timestamp,displayId,duration
0,1698316098047,1,44
0,1698316099141,1,49
0,1698316099335,1,43
0,1698316099716,1,46
0,1698316099808,1,88
0,1698316099938,1,41
0,1698316100023,1,44
0,1698316100318,1,44
0,1698316100509,1,191
0,1698316101589,1,394
1,1698316102628,1,91
1,1698316102873,1,880
1,1698316104078,1,90
1,1698316104210,1,759
1,1698316105194,1,46
1,1698316105283,1,138
1,1698316105642,1,83
1,1698316105768,1,192
1,1698316106010,1,324
1,1698316106654,1,249
2,1698316106953,1,297
2,1698316107299,1,46
2,1698316107391,1,537
2,1698316108626,1,1870
3,1698316110535,1,39
3,1698316110726,1,141
3,1698316111017,1,51
3,1698316111263,1,98
3,1698316111565,1,481
3,1698316112089,1,676
3,1698316112956,1,277
3,1698316113759,1,355
3,1698316114158,1,681
3,1698316114885,1,97
3,1698316115431,1,287
4,1698316115768,1,778
4,1698316116657,1,218
4,1698316117528,1,1734
4,1698316119307,1,93
4,1698316119447,1,280
5,1698316119911,1,605
5,1698316120563,1,44
5,1698316120651,1,1129
5,1698316121825,1,290
5,1698316122452,1,1055
5,1698316123586,1,137
6,1698316123773,1,799
6,1698316124620,1,610
6,1698316125319,1,47
6,1698316125645,1,93
6,1698316125878,1,95
6,1698316126107,1,2167
6,1698316128354,1,207
7,1698316128613,1,57
7,1698316128723,1,1784
7,1698316130741,1,281
7,1698316131068,1,322
7,1698316131538,1,49
7,1698316131849,1,346
