timestamp,left_x,left_y,right_x,right_y,left_validity,right_validity
1698316083502,nan,nan,nan,nan,0,0
1698316083574,nan,nan,nan,nan,0,0
1698316083624,nan,nan,nan,nan,0,0
1698316083670,nan,nan,nan,nan,0,0
1698316083716,nan,nan,nan,nan,0,0
1698316083763,nan,nan,nan,nan,0,0
1698316083809,nan,nan,nan,nan,0,0
1698316083853,nan,nan,nan,nan,0,0
1698316083899,nan,nan,nan,nan,0,0
1698316083945,nan,nan,nan,nan,0,0
1698316083989,nan,nan,nan,nan,0,0
1698316084037,nan,nan,nan,nan,0,0
1698316084083,nan,nan,nan,nan,0,0
1698316084129,nan,nan,nan,nan,0,0
1698316084174,nan,nan,nan,nan,0,0
1698316084219,nan,nan,nan,nan,0,0
1698316084263,nan,nan,nan,nan,0,0
1698316084310,nan,nan,nan,nan,0,0
1698316084356,nan,nan,nan,nan,0,0
1698316084402,nan,nan,nan,nan,0,0
1698316084448,nan,nan,nan,nan,0,0
1698316084492,nan,nan,nan,nan,0,0
1698316084537,nan,nan,nan,nan,0,0
1698316084583,nan,nan,nan,nan,0,0
1698316084628,nan,nan,nan,nan,0,0
1698316084675,nan,nan,nan,nan,0,0
1698316084722,nan,nan,nan,nan,0,0
1698316084767,nan,nan,nan,nan,0,0
1698316084812,nan,nan,nan,nan,0,0
1698316084856,nan,nan,nan,nan,0,0
1698316084902,nan,nan,nan,nan,0,0
1698316084949,nan,nan,nan,nan,0,0
1698316084997,nan,nan,nan,nan,0,0
1698316085044,nan,nan,nan,nan,0,0
1698316085093,nan,nan,nan,nan,0,0
1698316085144,nan,nan,nan,nan,0,0
1698316085196,0.9583333333333334,0.7916666666666666,0.9583333333333334,0.7916666666666666,1.0,1.0
1698316085247,0.8541666666666666,0.7916666666666666,0.8541666666666666,0.7916666666666666,1.0,1.0
1698316085296,0.875,0.7916666666666666,0.875,0.7916666666666666,0.8919649720191956,0.8919649720191956
1698316085351,0.8958333333333334,0.7916666666666666,0.8958333333333334,0.7916666666666666,0.9057743549346924,0.9057743549346924
1698316085399,0.9166666666666666,0.7916666666666666,0.9166666666666666,0.7916666666666666,0.7938897013664246,0.7938897013664246
1698316085447,0.9166666666666666,0.7916666666666666,0.9166666666666666,0.7916666666666666,0.9974173903465272,0.9974173903465272
1698316085495,0.9166666666666666,0.7916666666666666,0.9166666666666666,0.7916666666666666,0.9102008938789368,0.9102008938789368
1698316085549,0.9166666666666666,0.7916666666666666,0.9166666666666666,0.7916666666666666,0.9366844296455384,0.9366844296455384
1698316085600,0.8958333333333334,0.7916666666666666,0.8958333333333334,0.7916666666666666,0.968357264995575,0.968357264995575
1698316085650,0.875,0.7916666666666666,0.875,0.7916666666666666,0.9368000626564026,0.9368000626564026
1698316085697,0.875,0.7916666666666666,0.875,0.7916666666666666,0.9230949878692628,0.9230949878692628
1698316085744,0.875,0.7916666666666666,0.875,0.7916666666666666,0.9945240020751952,0.9945240020751952
1698316085791,0.875,0.7916666666666666,0.875,0.7916666666666666,0.985904574394226,0.985904574394226
1698316085840,0.875,0.7916666666666666,0.875,0.7916666666666666,1.0,1.0
1698316085885,nan,nan,nan,nan,0,0
1698316085931,nan,nan,nan,nan,0,0
1698316085976,nan,nan,nan,nan,0,0
1698316086021,nan,nan,nan,nan,0,0
1698316086074,nan,nan,nan,nan,0,0
1698316086133,nan,nan,nan,nan,0,0
1698316086192,nan,nan,nan,nan,0,0
1698316086242,nan,nan,nan,nan,0,0
1698316086293,nan,nan,nan,nan,0,0
1698316086345,nan,nan,nan,nan,0,0
1698316086395,nan,nan,nan,nan,0,0
1698316086448,nan,nan,nan,nan,0,0
1698316086499,nan,nan,nan,nan,0,0
1698316086549,nan,nan,nan,nan,0,0
1698316086600,nan,nan,nan,nan,0,0
1698316086649,nan,nan,nan,nan,0,0
1698316086702,nan,nan,nan,nan,0,0
1698316086752,nan,nan,nan,nan,0,0
1698316086804,nan,nan,nan,nan,0,0
1698316086852,nan,nan,nan,nan,0,0
1698316086902,nan,nan,nan,nan,0,0
1698316086953,nan,nan,nan,nan,0,0
1698316087001,nan,nan,nan,nan,0,0
1698316087049,nan,nan,nan,nan,0,0
1698316087096,nan,nan,nan,nan,0,0
1698316087145,nan,nan,nan,nan,0,0
1698316087192,nan,nan,nan,nan,0,0
1698316087238,nan,nan,nan,nan,0,0
1698316087285,nan,nan,nan,nan,0,0
1698316087340,nan,nan,nan,nan,0,0
1698316087393,nan,nan,nan,nan,0,0
1698316087445,nan,nan,nan,nan,0,0
1698316087496,nan,nan,nan,nan,0,0
1698316087546,nan,nan,nan,nan,0,0
1698316087596,nan,nan,nan,nan,0,0
1698316087647,nan,nan,nan,nan,0,0
1698316087696,nan,nan,nan,nan,0,0
1698316087745,nan,nan,nan,nan,0,0
1698316087795,nan,nan,nan,nan,0,0
1698316087845,nan,nan,nan,nan,0,0
1698316087897,nan,nan,nan,nan,0,0
1698316087944,nan,nan,nan,nan,0,0
1698316087992,nan,nan,nan,nan,0,0
1698316088042,nan,nan,nan,nan,0,0
1698316088088,nan,nan,nan,nan,0,0
1698316088136,nan,nan,nan,nan,0,0
1698316088183,nan,nan,nan,nan,0,0
1698316088230,nan,nan,nan,nan,0,0
1698316088276,nan,nan,nan,nan,0,0
1698316088322,nan,nan,nan,nan,0,0
1698316088370,nan,nan,nan,nan,0,0
1698316088421,nan,nan,nan,nan,0,0
1698316088471,nan,nan,nan,nan,0,0
1698316088520,nan,nan,nan,nan,0,0
1698316088571,nan,nan,nan,nan,0,0
1698316088619,nan,nan,nan,nan,0,0
1698316088669,nan,nan,nan,nan,0,0
1698316088720,nan,nan,nan,nan,0,0
1698316088769,nan,nan,nan,nan,0,0
1698316088819,nan,nan,nan,nan,0,0
1698316088868,nan,nan,nan,nan,0,0
1698316088920,nan,nan,nan,nan,0,0
1698316088968,nan,nan,nan,nan,0,0
1698316089017,nan,nan,nan,nan,0,0
1698316089065,nan,nan,nan,nan,0,0
1698316089116,nan,nan,nan,nan,0,0
1698316089162,nan,nan,nan,nan,0,0
1698316089209,nan,nan,nan,nan,0,0
1698316089257,nan,nan,nan,nan,0,0
1698316089306,nan,nan,nan,nan,0,0
1698316089353,nan,nan,nan,nan,0,0
1698316089398,nan,nan,nan,nan,0,0
1698316089445,nan,nan,nan,nan,0,0
1698316089490,nan,nan,nan,nan,0,0
1698316089539,nan,nan,nan,nan,0,0
1698316089585,nan,nan,nan,nan,0,0
1698316089631,nan,nan,nan,nan,0,0
1698316089677,nan,nan,nan,nan,0,0
1698316089723,nan,nan,nan,nan,0,0
1698316089770,nan,nan,nan,nan,0,0
1698316089821,nan,nan,nan,nan,0,0
1698316089877,nan,nan,nan,nan,0,0
1698316089929,nan,nan,nan,nan,0,0
1698316089981,nan,nan,nan,nan,0,0
1698316090027,nan,nan,nan,nan,0,0
1698316090076,nan,nan,nan,nan,0,0
1698316090122,nan,nan,nan,nan,0,0
1698316090169,nan,nan,nan,nan,0,0
1698316090214,nan,nan,nan,nan,0,0
1698316090261,nan,nan,nan,nan,0,0
1698316090310,nan,nan,nan,nan,0,0
1698316090359,nan,nan,nan,nan,0,0
1698316090407,nan,nan,nan,nan,0,0
1698316090455,nan,nan,nan,nan,0,0
1698316090502,nan,nan,nan,nan,0,0
1698316090549,nan,nan,nan,nan,0,0
1698316090595,nan,nan,nan,nan,0,0
1698316090641,nan,nan,nan,nan,0,0
1698316090686,nan,nan,nan,nan,0,0
1698316090733,nan,nan,nan,nan,0,0
1698316090779,nan,nan,nan,nan,0,0
1698316090826,nan,nan,nan,nan,0,0
1698316090872,nan,nan,nan,nan,0,0
1698316090919,nan,nan,nan,nan,0,0
1698316090968,nan,nan,nan,nan,0,0
1698316091013,nan,nan,nan,nan,0,0
1698316091058,nan,nan,nan,nan,0,0
1698316091103,nan,nan,nan,nan,0,0
1698316091148,nan,nan,nan,nan,0,0
1698316091193,nan,nan,nan,nan,0,0
1698316091237,nan,nan,nan,nan,0,0
1698316091282,nan,nan,nan,nan,0,0
1698316091327,nan,nan,nan,nan,0,0
1698316091371,nan,nan,nan,nan,0,0
1698316091418,nan,nan,nan,nan,0,0
1698316091466,nan,nan,nan,nan,0,0
1698316091515,nan,nan,nan,nan,0,0
1698316091562,nan,nan,nan,nan,0,0
1698316091609,nan,nan,nan,nan,0,0
1698316091652,nan,nan,nan,nan,0,0
1698316091697,nan,nan,nan,nan,0,0
1698316091743,nan,nan,nan,nan,0,0
1698316091788,nan,nan,nan,nan,0,0
1698316091834,nan,nan,nan,nan,0,0
1698316091878,nan,nan,nan,nan,0,0
1698316091923,nan,nan,nan,nan,0,0
1698316091968,nan,nan,nan,nan,0,0
1698316092015,nan,nan,nan,nan,0,0
1698316092062,nan,nan,nan,nan,0,0
1698316092108,nan,nan,nan,nan,0,0
1698316092157,nan,nan,nan,nan,0,0
1698316092203,nan,nan,nan,nan,0,0
1698316092248,nan,nan,nan,nan,0,0
1698316092294,nan,nan,nan,nan,0,0
1698316092340,nan,nan,nan,nan,0,0
1698316092387,nan,nan,nan,nan,0,0
1698316092435,nan,nan,nan,nan,0,0
1698316092480,nan,nan,nan,nan,0,0
1698316092527,nan,nan,nan,nan,0,0
1698316092572,nan,nan,nan,nan,0,0
1698316092620,nan,nan,nan,nan,0,0
1698316092666,nan,nan,nan,nan,0,0
1698316092710,nan,nan,nan,nan,0,0
1698316092755,nan,nan,nan,nan,0,0
1698316092802,nan,nan,nan,nan,0,0
1698316092849,nan,nan,nan,nan,0,0
1698316092907,nan,nan,nan,nan,0,0
1698316092953,nan,nan,nan,nan,0,0
1698316092999,nan,nan,nan,nan,0,0
1698316093051,nan,nan,nan,nan,0,0
1698316093096,nan,nan,nan,nan,0,0
1698316093142,nan,nan,nan,nan,0,0
1698316093189,nan,nan,nan,nan,0,0
1698316093236,nan,nan,nan,nan,0,0
1698316093282,nan,nan,nan,nan,0,0
1698316093327,nan,nan,nan,nan,0,0
1698316093372,nan,nan,nan,nan,0,0
1698316093419,nan,nan,nan,nan,0,0
1698316093465,nan,nan,nan,nan,0,0
1698316093511,nan,nan,nan,nan,0,0
1698316093555,nan,nan,nan,nan,0,0
1698316093599,nan,nan,nan,nan,0,0
1698316093644,nan,nan,nan,nan,0,0
1698316093688,nan,nan,nan,nan,0,0
1698316093732,nan,nan,nan,nan,0,0
1698316093778,nan,nan,nan,nan,0,0
1698316093828,nan,nan,nan,nan,0,0
1698316093873,nan,nan,nan,nan,0,0
1698316093920,nan,nan,nan,nan,0,0
1698316093967,nan,nan,nan,nan,0,0
1698316094013,nan,nan,nan,nan,0,0
1698316094060,nan,nan,nan,nan,0,0
1698316094107,nan,nan,nan,nan,0,0
1698316094154,nan,nan,nan,nan,0,0
1698316094200,nan,nan,nan,nan,0,0
1698316094247,nan,nan,nan,nan,0,0
1698316094293,nan,nan,nan,nan,0,0
1698316094340,nan,nan,nan,nan,0,0
1698316094387,nan,nan,nan,nan,0,0
1698316094436,nan,nan,nan,nan,0,0
1698316094482,nan,nan,nan,nan,0,0
1698316094529,nan,nan,nan,nan,0,0
1698316094574,nan,nan,nan,nan,0,0
1698316094621,nan,nan,nan,nan,0,0
1698316094667,nan,nan,nan,nan,0,0
1698316094713,nan,nan,nan,nan,0,0
1698316094760,nan,nan,nan,nan,0,0
1698316094810,nan,nan,nan,nan,0,0
1698316094862,nan,nan,nan,nan,0,0
1698316094910,nan,nan,nan,nan,0,0
1698316094959,nan,nan,nan,nan,0,0
1698316095006,nan,nan,nan,nan,0,0
1698316095063,nan,nan,nan,nan,0,0
1698316095117,nan,nan,nan,nan,0,0
1698316095166,nan,nan,nan,nan,0,0
1698316095215,nan,nan,nan,nan,0,0
1698316095264,nan,nan,nan,nan,0,0
1698316095313,nan,nan,nan,nan,0,0
1698316095362,nan,nan,nan,nan,0,0
1698316095412,nan,nan,nan,nan,0,0
1698316095461,nan,nan,nan,nan,0,0
1698316095511,nan,nan,nan,nan,0,0
1698316095561,nan,nan,nan,nan,0,0
1698316095609,nan,nan,nan,nan,0,0
1698316095657,nan,nan,nan,nan,0,0
1698316095705,nan,nan,nan,nan,0,0
1698316095753,nan,nan,nan,nan,0,0
1698316095803,nan,nan,nan,nan,0,0
1698316095851,nan,nan,nan,nan,0,0
1698316095900,nan,nan,nan,nan,0,0
1698316095946,nan,nan,nan,nan,0,0
1698316095992,nan,nan,nan,nan,0,0
1698316096039,nan,nan,nan,nan,0,0
1698316096086,nan,nan,nan,nan,0,0
1698316096134,nan,nan,nan,nan,0,0
1698316096219,nan,nan,nan,nan,0,0
1698316096270,nan,nan,nan,nan,0,0
1698316096319,nan,nan,nan,nan,0,0
1698316096367,nan,nan,nan,nan,0,0
1698316096415,nan,nan,nan,nan,0,0
1698316096460,nan,nan,nan,nan,0,0
1698316096508,nan,nan,nan,nan,0,0
1698316096553,nan,nan,nan,nan,0,0
1698316096599,nan,nan,nan,nan,0,0
1698316096643,nan,nan,nan,nan,0,0
1698316096688,nan,nan,nan,nan,0,0
1698316096733,nan,nan,nan,nan,0,0
1698316096779,nan,nan,nan,nan,0,0
1698316096826,nan,nan,nan,nan,0,0
1698316096871,nan,nan,nan,nan,0,0
1698316096988,nan,nan,nan,nan,0,0
1698316097032,nan,nan,nan,nan,0,0
1698316097076,nan,nan,nan,nan,0,0
1698316097121,nan,nan,nan,nan,0,0
1698316097167,nan,nan,nan,nan,0,0
1698316097213,nan,nan,nan,nan,0,0
1698316097260,nan,nan,nan,nan,0,0
1698316097310,nan,nan,nan,nan,0,0
1698316097364,nan,nan,nan,nan,0,0
1698316097412,nan,nan,nan,nan,0,0
1698316097458,nan,nan,nan,nan,0,0
1698316097505,nan,nan,nan,nan,0,0
1698316097556,nan,nan,nan,nan,0,0
1698316097605,nan,nan,nan,nan,0,0
1698316097653,nan,nan,nan,nan,0,0
1698316097702,nan,nan,nan,nan,0,0
1698316097752,nan,nan,nan,nan,0,0
1698316097803,nan,nan,nan,nan,0,0
1698316097856,nan,nan,nan,nan,0,0
1698316097907,nan,nan,nan,nan,0,0
1698316097954,nan,nan,nan,nan,0,0
1698316098000,nan,nan,nan,nan,0,0
1698316098047,0.2916666666666667,0.9583333333333334,0.2916666666666667,0.9583333333333334,0.8326857686042786,0.8326857686042786
1698316098091,nan,nan,nan,nan,0,0
1698316098141,nan,nan,nan,nan,0,0
1698316098189,nan,nan,nan,nan,0,0
1698316098240,nan,nan,nan,nan,0,0
1698316098291,nan,nan,nan,nan,0,0
1698316098341,nan,nan,nan,nan,0,0
1698316098390,nan,nan,nan,nan,0,0
1698316098438,nan,nan,nan,nan,0,0
1698316098488,nan,nan,nan,nan,0,0
1698316098539,nan,nan,nan,nan,0,0
1698316098590,nan,nan,nan,nan,0,0
1698316098640,nan,nan,nan,nan,0,0
1698316098690,nan,nan,nan,nan,0,0
1698316098738,nan,nan,nan,nan,0,0
1698316098788,nan,nan,nan,nan,0,0
1698316098838,nan,nan,nan,nan,0,0
1698316098887,nan,nan,nan,nan,0,0
1698316098937,nan,nan,nan,nan,0,0
1698316098989,nan,nan,nan,nan,0,0
1698316099040,nan,nan,nan,nan,0,0
1698316099090,nan,nan,nan,nan,0,0
1698316099141,0.8958333333333334,0.9166666666666666,0.8958333333333334,0.9166666666666666,0.4622191810588836,0.4622191810588836
1698316099190,nan,nan,nan,nan,0,0
1698316099227,nan,nan,nan,nan,0,0
1698316099262,nan,nan,nan,nan,0,0
1698316099296,nan,nan,nan,nan,0,0
1698316099335,0.7291666666666666,0.75,0.7291666666666666,0.75,0.8410097453307224,0.8410097453307224
1698316099378,nan,nan,nan,nan,0,0
1698316099424,nan,nan,nan,nan,0,0
1698316099471,nan,nan,nan,nan,0,0
1698316099526,nan,nan,nan,nan,0,0
1698316099574,nan,nan,nan,nan,0,0
1698316099623,nan,nan,nan,nan,0,0
1698316099669,nan,nan,nan,nan,0,0
1698316099716,0.7708333333333334,0.5833333333333334,0.7708333333333334,0.5833333333333334,0.7811915278434753,0.7811915278434753
1698316099762,nan,nan,nan,nan,0,0
1698316099808,0.8333333333333334,0.4166666666666667,0.8333333333333334,0.4166666666666667,0.7176504067355228,0.7176504067355228
1698316099854,0.8541666666666666,0.4583333333333333,0.8541666666666666,0.4583333333333333,0.701738715171814,0.701738715171814
1698316099896,nan,nan,nan,nan,0,0
1698316099938,0.8958333333333334,0.4166666666666667,0.8958333333333334,0.4166666666666667,0.7970790863037109,0.7970790863037109
1698316099979,nan,nan,nan,nan,0,0
1698316100023,0.6666666666666666,0.2916666666666667,0.6666666666666666,0.2916666666666667,0.0,0.0
1698316100067,nan,nan,nan,nan,0,0
1698316100110,nan,nan,nan,nan,0,0
1698316100140,nan,nan,nan,nan,0,0
1698316100171,nan,nan,nan,nan,0,0
1698316100204,nan,nan,nan,nan,0,0
1698316100237,nan,nan,nan,nan,0,0
1698316100275,nan,nan,nan,nan,0,0
1698316100318,0.2708333333333333,0.3333333333333333,0.2708333333333333,0.3333333333333333,0.0,0.0
1698316100362,nan,nan,nan,nan,0,0
1698316100412,nan,nan,nan,nan,0,0
1698316100462,nan,nan,nan,nan,0,0
1698316100509,0.8958333333333334,0.6666666666666666,0.8958333333333334,0.6666666666666666,0.5993590229375451,0.5993590229375451
1698316100557,0.8125,0.5833333333333334,0.8125,0.5833333333333334,0.5586974121316939,0.5586974121316939
1698316100607,0.2916666666666667,0.8333333333333334,0.2916666666666667,0.8333333333333334,0.9488137364387512,0.9488137364387512
1698316100655,0.9375,0.625,0.9375,0.625,0.5043411504222584,0.5043411504222584
1698316100700,nan,nan,nan,nan,0,0
1698316100737,nan,nan,nan,nan,0,0
1698316100774,nan,nan,nan,nan,0,0
1698316100809,nan,nan,nan,nan,0,0
1698316100843,nan,nan,nan,nan,0,0
1698316100882,nan,nan,nan,nan,0,0
1698316100919,nan,nan,nan,nan,0,0
1698316100956,nan,nan,nan,nan,0,0
1698316101004,nan,nan,nan,nan,0,0
1698316101049,nan,nan,nan,nan,0,0
1698316101096,nan,nan,nan,nan,0,0
1698316101142,nan,nan,nan,nan,0,0
1698316101187,nan,nan,nan,nan,0,0
1698316101238,nan,nan,nan,nan,0,0
1698316101284,nan,nan,nan,nan,0,0
1698316101329,nan,nan,nan,nan,0,0
1698316101373,nan,nan,nan,nan,0,0
1698316101405,nan,nan,nan,nan,0,0
1698316101438,nan,nan,nan,nan,0,0
1698316101469,nan,nan,nan,nan,0,0
1698316101503,nan,nan,nan,nan,0,0
1698316101543,nan,nan,nan,nan,0,0
1698316101589,0.625,0.3333333333333333,0.625,0.3333333333333333,0.4179701194546873,0.4179701194546873
1698316101636,0.2708333333333333,0.625,0.2708333333333333,0.625,0.4628236088526246,0.4628236088526246
1698316101684,0.25,0.6666666666666666,0.25,0.6666666666666666,0.3294353928734068,0.3294353928734068
1698316101735,0.22916666666666666,0.625,0.22916666666666666,0.625,0.4189552169505743,0.4189552169505743
1698316101784,0.125,0.5416666666666666,0.125,0.5416666666666666,0.4454949924730597,0.4454949924730597
1698316101833,0.125,0.375,0.125,0.375,0.8130007982254028,0.8130007982254028
1698316101885,0.10416666666666667,0.5,0.10416666666666667,0.5,0.4151374517278259,0.4151374517278259
1698316101936,0.10416666666666667,0.5,0.10416666666666667,0.5,0.3846804091605226,0.3846804091605226
1698316101983,nan,nan,nan,nan,0,0
1698316102029,nan,nan,nan,nan,0,0
1698316102079,nan,nan,nan,nan,0,0
1698316102127,nan,nan,nan,nan,0,0
1698316102175,nan,nan,nan,nan,0,0
1698316102224,nan,nan,nan,nan,0,0
1698316102273,nan,nan,nan,nan,0,0
1698316102319,nan,nan,nan,nan,0,0
1698316102364,nan,nan,nan,nan,0,0
1698316102410,nan,nan,nan,nan,0,0
1698316102458,nan,nan,nan,nan,0,0
1698316102507,nan,nan,nan,nan,0,0
1698316102555,nan,nan,nan,nan,0,0
1698316102628,0.25,0.20833333333333334,0.25,0.20833333333333334,0.0,0.0
1698316102676,0.2708333333333333,0.20833333333333334,0.2708333333333333,0.20833333333333334,0.0,0.0
1698316102719,nan,nan,nan,nan,0,0
1698316102760,nan,nan,nan,nan,0,0
1698316102796,nan,nan,nan,nan,0,0
1698316102836,nan,nan,nan,nan,0,0
1698316102873,0.375,0.5833333333333334,0.375,0.5833333333333334,0.8912500739097595,0.8912500739097595
1698316102915,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.6666666666666666,1.0,1.0
1698316102959,0.3541666666666667,0.625,0.3541666666666667,0.625,0.8775885105133057,0.8775885105133057
1698316103004,0.2916666666666667,0.5833333333333334,0.2916666666666667,0.5833333333333334,0.8724443316459656,0.8724443316459656
1698316103056,0.20833333333333334,0.5416666666666666,0.20833333333333334,0.5416666666666666,0.7971604466438293,0.7971604466438293
1698316103101,0.3333333333333333,0.625,0.3333333333333333,0.625,0.4357019482275229,0.4357019482275229
1698316103146,0.16666666666666666,0.5,0.16666666666666666,0.5,0.7764852643013,0.7764852643013
1698316103187,0.3541666666666667,0.7916666666666666,0.3541666666666667,0.7916666666666666,0.4086943981694379,0.4086943981694379
1698316103230,0.14583333333333334,0.5,0.14583333333333334,0.5,0.8291260600090027,0.8291260600090027
1698316103273,0.14583333333333334,0.4583333333333333,0.14583333333333334,0.4583333333333333,0.881080150604248,0.881080150604248
1698316103316,0.125,0.4583333333333333,0.125,0.4583333333333333,0.8303303718566895,0.8303303718566895
1698316103359,0.125,0.4583333333333333,0.125,0.4583333333333333,0.8598000407218933,0.8598000407218933
1698316103402,0.125,0.4166666666666667,0.125,0.4166666666666667,0.814426064491272,0.814426064491272
1698316103443,0.125,0.4583333333333333,0.125,0.4583333333333333,0.859697163105011,0.859697163105011
1698316103485,0.0625,0.3333333333333333,0.0625,0.3333333333333333,0.3996230112393124,0.3996230112393124
1698316103531,0.14583333333333334,0.5416666666666666,0.14583333333333334,0.5416666666666666,0.8431738615036011,0.8431738615036011
1698316103576,0.16666666666666666,0.5416666666666666,0.16666666666666666,0.5416666666666666,0.8336038589477539,0.8336038589477539
1698316103622,0.22916666666666666,0.75,0.22916666666666666,0.75,0.4215416643074622,0.4215416643074622
1698316103667,0.22916666666666666,0.5833333333333334,0.22916666666666666,0.5833333333333334,0.2968744870742754,0.2968744870742754
1698316103709,0.125,0.5,0.125,0.5,0.4408823265101215,0.4408823265101215
1698316103753,nan,nan,nan,nan,0,0
1698316103799,nan,nan,nan,nan,0,0
