timestamp,stepId
1698049825490,0
1698049834256,1
1698049836685,2
1698049839351,3
1698049842445,4
1698049850160,5
1698049854313,6
1698049856525,7
1698049862318,8
1698049865450,9
1698049869548,10
1698049872980,11
1698049875548,12
1698049879489,13
