id,actionId,colorId,shapeId,x1,y1,x2,y2,x3,y3,x4,y4
0,1,1,1,110.83333333333334,269.1666666666667,126.66666666666666,269.1666666666667,110.83333333333334,316.6666666666667,126.66666666666666,316.6666666666667
1,2,1,1,316.6666666666667,142.5,364.1666666666667,142.5,316.6666666666667,158.33333333333334,364.1666666666667,158.33333333333334
2,1,1,1,47.5,269.1666666666667,63.33333333333333,269.1666666666667,47.5,316.6666666666667,63.33333333333333,316.6666666666667
3,2,1,1,348.3333333333333,110.83333333333334,395.83333333333337,110.83333333333334,348.3333333333333,126.66666666666666,395.83333333333337,126.66666666666666
4,1,1,0,174.16666666666666,205.83333333333331,190.0,205.83333333333331,174.16666666666666,221.66666666666669,190.0,221.66666666666669
5,2,1,0,364.1666666666667,79.16666666666667,380.0,79.16666666666667,364.1666666666667,95.0,380.0,95.0
6,1,3,1,585.8333333333334,269.1666666666667,601.6666666666666,269.1666666666667,585.8333333333334,316.6666666666667,601.6666666666666,316.6666666666667
7,2,3,1,364.1666666666667,174.16666666666666,411.66666666666663,174.16666666666666,364.1666666666667,190.0,411.66666666666663,190.0
8,1,3,1,649.1666666666666,269.1666666666667,665.0,269.1666666666667,649.1666666666666,316.6666666666667,665.0,316.6666666666667
9,2,3,1,364.1666666666667,205.83333333333331,411.66666666666663,205.83333333333331,364.1666666666667,221.66666666666669,411.66666666666663,221.66666666666669
10,1,3,1,554.1666666666666,269.1666666666667,570.0,269.1666666666667,554.1666666666666,316.6666666666667,570.0,316.6666666666667
11,2,3,1,364.1666666666667,237.5,411.66666666666663,237.5,364.1666666666667,253.33333333333331,411.66666666666663,253.33333333333331
12,1,3,0,585.8333333333334,205.83333333333331,601.6666666666666,205.83333333333331,585.8333333333334,221.66666666666669,601.6666666666666,221.66666666666669
13,2,3,0,332.5,237.5,348.3333333333333,237.5,332.5,253.33333333333331,348.3333333333333,253.33333333333331
14,1,3,0,649.1666666666666,205.83333333333331,665.0,205.83333333333331,649.1666666666666,221.66666666666669,665.0,221.66666666666669
15,2,3,0,332.5,205.83333333333331,348.3333333333333,205.83333333333331,332.5,221.66666666666669,348.3333333333333,221.66666666666669
16,1,3,0,554.1666666666666,205.83333333333331,570.0,205.83333333333331,554.1666666666666,221.66666666666669,570.0,221.66666666666669
17,2,3,0,332.5,174.16666666666666,348.3333333333333,174.16666666666666,332.5,190.0,348.3333333333333,190.0
