key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,11.07.2023
Export Time,11:16:08
Frame Index Range:,0 - 1526
Relative Time Range,00:00.000 - 00:51.124
Absolute Time Range,354543.8373 - 354594.961809
