key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,11.07.2023
Export Time,11:38:59
Frame Index Range:,0 - 1468
Relative Time Range,00:00.000 - 00:49.186
Absolute Time Range,354860.403525 - 354909.590167
