key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,05.07.2023
Export Time,16:30:35
Frame Index Range:,0 - 1614
Relative Time Range,00:00.000 - 00:55.261
Absolute Time Range,347609.197343 - 347664.45893799997
