stepId,timestamp,displayId,duration
0,1698048510986,0,398
0,1698048511552,1,59
0,1698048511629,1,179
0,1698048511840,1,15
0,1698048511922,1,12
0,1698048511958,1,9
0,1698048511974,0,423
0,1698048512003,1,15
0,1698048512036,1,12
0,1698048512431,0,32
0,1698048512438,1,18
0,1698048512474,1,11
0,1698048512506,1,14
0,1698048513025,1,419
0,1698048513617,0,688
1,1698048514316,0,420
1,1698048514863,1,124
1,1698048515004,1,81
1,1698048515100,1,48
1,1698048515199,1,990
1,1698048515879,0,33
1,1698048516204,1,15
1,1698048516275,1,9
1,1698048516448,0,666
1,1698048517047,1,35
2,1698048517125,0,443
2,1698048517129,1,13
2,1698048517275,1,14
2,1698048517339,1,15
2,1698048517375,1,33
2,1698048517438,1,15
2,1698048517473,1,63
2,1698048517568,1,15
2,1698048517601,1,15
2,1698048517634,1,80
2,1698048517746,1,113
2,1698048517876,1,12
2,1698048517906,1,17
2,1698048518007,1,12
2,1698048518035,0,576
2,1698048518443,1,15
2,1698048518620,1,18
2,1698048518671,1,824
2,1698048519577,0,34
2,1698048519595,1,12
2,1698048519658,1,17
2,1698048519689,0,733
2,1698048519724,1,15
2,1698048519787,1,18
2,1698048520276,1,15
2,1698048520308,1,17
3,1698048520434,0,587
3,1698048520473,1,28
3,1698048521006,1,15
3,1698048521041,1,338
3,1698048521399,1,1443
3,1698048522919,1,17
3,1698048523061,0,489
4,1698048523560,0,668
4,1698048524727,1,24
4,1698048525086,0,320
4,1698048525451,1,50
4,1698048525550,1,1251
4,1698048526830,1,15
4,1698048526954,0,268
5,1698048527232,0,465
5,1698048527626,1,14
5,1698048527788,1,15
5,1698048527820,1,14
5,1698048527870,1,128
5,1698048528540,0,66
5,1698048528617,0,248
5,1698048528883,0,33
5,1698048529108,1,1212
5,1698048530383,1,33
5,1698048530509,0,756
6,1698048531300,0,319
6,1698048533032,1,26
6,1698048533079,1,1294
6,1698048534408,1,46
6,1698048534554,0,722
7,1698048535287,0,218
7,1698048535694,1,368
7,1698048536402,1,1006
7,1698048537862,1,14
7,1698048538060,0,591
7,1698048538170,1,18
7,1698048538220,1,18
7,1698048538430,1,21
7,1698048538463,1,12
7,1698048538496,1,14
8,1698048538689,0,15
8,1698048538789,1,1848
8,1698048540655,1,12
8,1698048540834,0,11
9,1698048540855,0,856
9,1698048540864,1,14
9,1698048540917,1,9
9,1698048540979,1,17
9,1698048541109,1,15
9,1698048541191,1,13
9,1698048541512,1,15
9,1698048541839,1,1100
9,1698048542957,1,14
9,1698048543175,0,376
