Obsv.	Frame	Capture Time	System Time	Sensor Time	Lft X Pos	Lft Y Pos	Lft Pupil Diameter	Rt X Pos	Rt Y Pos	Rt Pupil Diameter	L Display	R Display	L Quality	R Quality	Lft Pupil Quality	Rt Pupil Quality	L Eye Rot (X)	L Eye Rot (Y)	L Eye Rot (Z)	R Eye Rot (X)	R Eye Rot (Y)	R Eye Rot (Z)	L Eye Pos (X)	L Eye Pos (Y)	L Eye Pos (Z)	R Eye Pos (X)	R Eye Pos (Y)	R Eye Pos (Z)	Head Rot (X)	Head Rot (Y)	Head Rot (Z)	Head Pos (X)	Head Pos (Y)	Head Pos (Z)	L Eyelid Valid	L Eyelid Opening	R Eyelid Valid	R Eyelid Opening
17	788	771640296431	1695979456107650	771628117404	763.535300	192.344600	3.039412	763.535300	192.344600	3.484936	1	1	3	3	0	0	-0.124012	-0.754541	0.000000	-0.137563	0.438566	0.000000	-0.078378	0.397887	0.148142	-0.024022	0.397993	0.144114	-0.000000	0.000000	0.000000	-0.051200	0.397940	0.146128	0	0.000000	0	0.000000
18	789	771640313414	1695979456124632	771628133631	749.801500	130.914800	3.077077	749.801500	130.914800	3.488490	1	1	3	3	0	0	-0.100181	-0.699645	0.000000	-0.136991	0.433562	0.000000	-0.078302	0.397266	0.148007	-0.024267	0.397465	0.143556	-0.000000	0.000000	0.000000	-0.051284	0.397366	0.145781	0	0.000000	0	0.000000
19	790	771640330314	1695979456141532	771628149843	772.284300	196.677800	3.064142	772.284300	196.677800	3.444102	1	1	3	3	0	0	-0.125451	-0.771433	0.000000	-0.136643	0.429899	0.000000	-0.078316	0.396261	0.146281	-0.024154	0.397823	0.143923	-0.000000	0.000000	0.000000	-0.051235	0.397042	0.145102	0	0.000000	0	0.000000
20	791	771640345305	1695979456156523	771628166462	749.783800	133.791000	3.055515	749.783800	133.791000	3.427391	1	1	3	3	0	0	-0.102188	-0.699044	0.000000	-0.135324	0.427060	0.000000	-0.078191	0.395373	0.145803	-0.024397	0.396499	0.142446	-0.000000	0.000000	0.000000	-0.051294	0.395936	0.144125	0	0.000000	0	0.000000
21	792	771640363254	1695979456174472	771628182635	769.339800	198.265100	3.041154	769.339800	198.265100	3.454208	1	1	3	3	0	0	-0.126302	-0.769693	0.000000	-0.136485	0.428300	0.000000	-0.078233	0.394943	0.144779	-0.024227	0.397821	0.143909	-0.000000	0.000000	0.000000	-0.051230	0.396382	0.144344	0	0.000000	0	0.000000
22	793	771640378213	1695979456189432	771628198877	741.154800	136.840200	3.009863	741.154800	136.840200	3.467259	1	1	3	3	0	0	-0.101763	-0.699034	0.000000	-0.137979	0.432058	0.000000	-0.078135	0.394279	0.144573	-0.024424	0.399116	0.145400	-0.000000	0.000000	0.000000	-0.051280	0.396698	0.144987	0	0.000000	0	0.000000
23	794	771640396136	1695979456207355	771628215115	771.378600	197.557900	2.999963	771.378600	197.557900	3.515078	1	1	3	3	0	0	-0.124071	-0.789146	0.000000	-0.138129	0.440520	0.000000	-0.078180	0.393410	0.143003	-0.024288	0.399222	0.145486	-0.000000	0.000000	0.000000	-0.051234	0.396316	0.144244	0	0.000000	0	0.000000
24	795	771640411126	1695979456222344	771628231324	364.306100	253.186500	3.025498	364.306100	253.186500	3.522055	1	1	3	3	0	0	-0.138815	0.311315	0.000000	-0.138848	0.448188	0.000000	-0.074699	0.395899	0.145484	-0.024500	0.400351	0.146767	-0.000000	0.000000	0.000000	-0.049599	0.398125	0.146126	0	0.000000	0	0.000000
25	796	771640429048	1695979456240266	771628247537	355.185000	272.246900	3.002784	355.185000	272.246900	3.527772	1	1	3	3	0	0	-0.144690	0.358587	0.000000	-0.139646	0.450902	0.000000	-0.078433	0.395209	0.145043	-0.024370	0.400459	0.146696	-0.000000	0.000000	0.000000	-0.051402	0.397834	0.145869	0	0.000000	0	0.000000
26	797	771640443040	1695979456254259	771628264280	413.775200	281.104600	2.999074	0.000000	0.000000	0.000000	1	0	3	0	0	0	-0.149442	0.325528	0.000000	0.000000	0.000000	0.000000	-0.074956	0.398123	0.147816	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
27	798	771640457999	1695979456269218	771628280533	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
28	799	771640473958	1695979456285176	771628296767	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000
