stepId,actionId,begin,end
0,0,140,203
1,0,204,241
1,1,254,285
1,2,286,337
2,0,356,376
2,1,376,393
2,2,394,449
3,0,461,493
3,1,503,518
3,2,519,597
4,0,609,633
4,1,641,670
4,2,671,751
5,0,785,811
5,1,814,824
5,2,825,884
6,0,899,920
6,1,921,943
6,2,944,984
7,0,1008,1028
7,1,1051,1065
7,2,1066,1164
8,0,1189,1205
8,1,1211,1245
8,2,1246,1300
9,0,1315,1338
9,1,1346,1376
9,2,1377,1415
10,0,1433,1448
10,1,1450,1471
10,2,1472,1526
11,0,1531,1565
11,1,1568,1593
11,2,1594,1636
12,0,1649,1680
12,1,1700,1711
12,2,1712,1777
