stepId,actionId,begin,end
0,0,77,237
1,0,266,300
1,1,301,326
1,2,327,368
2,0,396,404
2,1,405,426
2,2,427,468
3,0,509,543
3,1,546,567
3,2,568,626
4,0,651,674
4,1,675,698
4,2,699,766
5,0,806,821
5,1,822,841
5,2,842,890
6,0,912,949
6,1,949,970
6,2,971,1010
7,0,1037,1060
7,1,1061,1091
7,2,1092,1185
8,0,1229,1245
8,1,1245,1272
8,2,1273,1309
9,0,1338,1353
9,1,1354,1382
9,2,1383,1467
10,0,1491,1505
10,1,1505,1528
10,2,1529,1578
11,0,1599,1618
11,1,1616,1643
11,2,1644,1695
12,0,1719,1736
12,1,1736,1763
12,2,1764,1809
