stepId,actionId,timestamp,duration
0,0,354964146.35,5359.906999945641
1,0,354970478.252,1139.9639999866486
1,1,354971654.27599996,836.097000002861
1,2,354972522.30200005,1376.0439999699593
2,0,354974834.364,267.9549999833107
2,1,354975138.204,704.1489999890327
2,2,354975874.329,1376.0360000133514
3,0,354978622.23899996,1139.9050000309944
3,1,354979862.386,704.0270000100136
3,2,354980598.13,1944.6960000395775
4,0,354983382.37399995,767.9850000739098
4,1,354984186.38600004,767.9679999351501
4,2,354984990.227,2244.119000017643
5,0,354988574.495,503.8029999732971
5,1,354989110.497,635.7789999842644
5,2,354989782.45,1607.772000014782
6,0,354992126.25799996,1240.0820000767708
6,1,354993366.34000003,703.8599999547005
6,2,354994106.225,1304.130999982357
7,0,354996314.316,772.0340000391006
7,1,354997122.334,1004.3870000243187
7,2,354998158.37899995,3116.254000067711
8,0,355002750.286,536.0569999814034
8,1,355003286.343,903.8200000524521
8,2,355004226.33,1203.9890000224113
9,0,355006402.34,503.94599997997284
9,1,355006938.195,940.005999982357
9,2,355007910.279,2816.121999979019
10,0,355011530.265,467.9710000157356
10,1,355011998.236,771.9909999966621
10,2,355012802.388,1643.9529999494553
11,0,355015150.453,635.8740000128746
11,1,355015718.25699997,903.9780000448227
11,2,355016658.344,1708.0490000247955
12,0,355019170.237,568.0360000133514
12,1,355019738.273,908.4079999923706
12,2,355020678.29800004,1508.111999988556
