stepId,actionId,begin,end
0,0,156,220
1,0,530,582
1,1,608,619
1,2,620,682
2,0,707,723
2,1,724,746
2,2,747,792
3,0,826,852
3,1,857,890
3,2,891,938
4,0,964,983
4,1,989,1008
4,2,1009,1058
5,0,1082,1121
5,1,1126,1144
5,2,1145,1232
6,0,1264,1290
6,1,1298,1318
6,2,1319,1397
