stepId,actionId,begin,end
0,0,0,29
1,0,123,150
1,1,164,180
1,2,181,239
2,0,262,284
2,1,287,303
2,2,304,428
3,0,532,549
3,1,559,600
3,2,601,726
4,0,765,798
4,1,810,825
4,2,826,887
5,0,915,937
5,1,938,962
5,2,963,1009
7,0,1111,1152
7,1,1164,1203
7,2,1204,1246
8,0,1262,1277
8,1,1282,1309
8,2,1310,1353
9,0,1366,1389
9,1,1393,1476
9,2,1477,1523
