key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,15.11.2023
Export Time,10:49:47
Frame Index Range:,0 - 1231
Relative Time Range,00:00.000 - 00:53.597
Absolute Time Range,-548993.568676 - -548939.9714009999
