key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,03.11.2023
Export Time,09:40:54
Frame Index Range:,0 - 1223
Relative Time Range,00:00.000 - 00:57.834
Absolute Time Range,-549487.38613 - -549429.55207
