Timestamp,Step
1696578000107,0
1696578003661,1
1696578004716,2
1696578005366,3
1696578005835,4
1696578006336,5
1696578006815,6
1696578007301,7
1696578007956,8
1696578008140,9
1696578008604,10
1696578008789,11
