stepId,timestamp,displayId,duration
0,1698316556542,1,380
0,1698316556963,1,82
0,1698316557121,1,41
0,1698316557244,1,42
0,1698316558565,1,548
0,1698316559161,1,47
0,1698316559624,1,44
1,1698316559710,1,88
1,1698316559844,1,146
1,1698316560341,1,736
1,1698316561177,1,48
1,1698316561720,1,46
1,1698316561950,1,39
1,1698316562029,1,770
1,1698316563609,1,949
1,1698316564602,1,183
1,1698316564836,1,223
2,1698316565345,1,82
2,1698316565467,1,116
2,1698316565622,1,238
2,1698316565942,1,215
2,1698316567200,1,1195
2,1698316568583,1,691
2,1698316569493,1,280
3,1698316569819,1,133
3,1698316570029,1,303
3,1698316570804,1,572
3,1698316571742,1,40
3,1698316571910,1,734
3,1698316572688,1,922
3,1698316573857,1,50
3,1698316573959,1,194
3,1698316574201,1,48
3,1698316574347,1,865
4,1698316575373,1,96
4,1698316575973,1,371
4,1698316576391,1,47
4,1698316576942,1,924
4,1698316578212,1,149
4,1698316578600,1,1550
5,1698316580623,1,136
5,1698316580804,1,45
5,1698316581024,1,420
5,1698316581486,1,44
5,1698316581573,1,43
5,1698316582985,1,1371
5,1698316584537,1,320
6,1698316585594,1,188
6,1698316585873,1,47
6,1698316586191,1,45
6,1698316586317,1,454
6,1698316587233,1,46
6,1698316587413,1,84
6,1698316587619,1,1071
6,1698316588890,1,95
6,1698316589086,1,1295
7,1698316590569,1,47
7,1698316590708,1,48
7,1698316590953,1,94
7,1698316591313,1,737
7,1698316592093,1,45
7,1698316592867,1,44
7,1698316593092,1,139
7,1698316593361,1,165
7,1698316593571,1,41
7,1698316593656,1,45
7,1698316593788,1,44
7,1698316593875,1,48
7,1698316594005,1,91
7,1698316594139,1,710
7,1698316595011,1,45
7,1698316595101,1,190
7,1698316595339,1,141
8,1698316595528,1,527
8,1698316596101,1,682
8,1698316596919,1,214
8,1698316597174,1,43
8,1698316597260,1,44
8,1698316597962,1,794
8,1698316599168,1,42
8,1698316599384,1,88
8,1698316599517,1,1177
8,1698316600800,1,47
8,1698316600995,1,48
8,1698316601093,1,97
9,1698316601234,1,528
9,1698316601855,1,45
9,1698316601944,1,87
9,1698316602391,1,861
9,1698316603289,1,36
9,1698316603399,1,2315
9,1698316605762,1,131
