gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
-548763.679007,0,0.8437087535858154,0.4888435977680767,0.3245068073192652,-548763.679007-0,-6.767803924180711,82.6712361092575,732.9552205160592,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.11996068260459652,0.5040847716416935,-0.8552823964211944,,,,,,
-548763.6709820001,0,0.8782671689987183,0.48936365166641166,0.328282486380141,-548763.6709820001-0,-6.133531868991454,79.93225410061851,731.264546030761,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.11869213849421803,0.49860680762441545,-0.8586637453917908,,,,,,
-548763.663022,0,0.8705039620399475,0.48695758558390956,0.33130338828424866,-548763.663022-0,-8.972012378500239,77.81092173139247,730.4405105622754,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.12436909951323559,0.4943641428859633,-0.860311816328762,,,,,,
-548763.650927,0,0.9417925477027893,0.48291020428442455,0.3348948322759412,-548763.650927-0,-13.74462676002284,75.32927361183015,729.7386220049104,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.13391432827628086,0.4894008466468387,-0.861715593443492,,,,,,
-548763.642982,0,0.9203799962997437,0.48352990604422785,0.34028585116572696,-548763.642982-0,-12.96538041879434,71.48407779124214,727.4575927359302,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.13235583559382377,0.48171045500566273,-0.8662776519814521,,,,,,
-548763.634877,1,0.9423666596412659,0.4853274204356605,0.341749359918623,-548763.634877-0,-10.833261008748408,70.41366841327944,726.5441445639555,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.1280915967737319,0.4795696362497373,-0.8681045483254018,,,,,,
-548763.627029,1,0.9248207211494446,0.4830327369596537,0.34134380856301605,-548763.627029-0,-13.543855168086182,70.7462673896689,727.1368357678325,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.1335127850924075,0.4802348342025162,-0.866919165917648,,,,,,
-548763.618759,1,0.8433155417442322,0.48435624845928277,0.34317059692899,-548763.618759-0,-11.968001783125942,69.43070321275029,726.1713131508486,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.130361078322487,0.47760370584867895,-0.8688502111516155,,,,,,
-548763.607555,1,0.8445952534675598,0.4824185789247976,0.34690247974940513,-548763.607555-0,-14.220722554178593,66.84689642566926,725.103835398307,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.13486651986459233,0.472436092274517,-0.8709851666566989,,,,,,
-548763.599588,1,0.8788458704948425,0.4798100764960255,0.35471109798414,-548763.599588-0,-17.214917063168514,61.45343907453163,722.6923391925206,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.14085490888257213,0.46164917757224166,-0.8758081590682715,,,,,,
-548763.59501,1,0.8915113806724548,0.48058550195277416,0.3539937894594266,-548763.59501-0,-16.311568031392852,61.936418509535386,722.8028513337159,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.1390482108190208,0.4626151364422492,-0.8755871347858808,,,,,,
-548763.586905,1,0.8607609272003174,0.47990471566209403,0.35234549450281283,-548763.586905-0,-17.12743683877754,63.09516651388529,723.5475657963184,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.1406799484337901,0.46493263245094896,-0.874097705860676,,,,,,
-548763.579019,2,0.9138206839561462,0.48017119246306683,0.35587326727075497,-548763.579019-0,-16.779729280844975,60.64122568644895,722.1954723639772,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.139984533317925,0.46002475079607635,-0.8768018927253582,,,,,,
-548763.56695,2,0.8528463244438171,0.4815239922636828,0.3561640263044227,-548763.56695-0,-15.191175133254148,60.415210295820515,721.8263640633891,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.13680742502274335,0.45957272001481947,-0.8775401093265347,,,,,,
-548763.559048,2,0.8631585240364075,0.4780818658333389,0.35494976314534,-548763.559048-0,-19.24257565987483,61.32151836096064,722.9536997283619,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.14491022607598478,0.4613853361450997,-0.8752854379965886,,,,,,
-548763.551044,2,0.8720993995666504,0.47621146328921793,0.3538539996773358,-548763.551044-0,-21.456368391846112,62.12081279088018,723.7485896054948,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.14933781153992728,0.4629839250049388,-0.8736956582423231,,,,,,
-548763.543032,2,0.8319389820098877,0.4771533519427411,0.3556497736253178,-548763.543032-0,-20.326112145019394,60.85451840143415,722.8885152473781,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.14707729904627384,0.4604513362260467,-0.8754158069585566,,,,,,
-548763.5350200001,2,0.8588098883628845,0.4778437403030589,0.355938767669318,-548763.5350200001-0,-19.511332761754844,60.64047627399509,722.6399247419837,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.1454477402797448,0.4600232519711686,-0.8759129879693452,,,,,,
-548763.527047,3,0.9025134444236755,0.4759768819012307,0.35621019140040133,-548763.527047-0,-21.702997076066694,60.48984690447604,722.9303531788313,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.1498310689083685,0.45972199323213053,-0.8753321310956501,,,,,,
-548763.518985,3,0.9064186215400696,0.47520220202414654,0.3549025871542786,-548763.518985-0,-22.631832717453037,61.413304920132475,723.5767772628603,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.1516887401911412,0.46156890926344346,-0.8740392829275919,,,,,,
-548763.511046,3,0.7658171057701111,0.47480336181915506,0.3553497423137236,-548763.511046-0,-23.095804247192063,61.11122495823261,723.4981323367933,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.15261668325061922,0.46096474933964365,-0.8741965727797262,,,,,,
-548763.503024,3,0.8817259669303894,0.4721267544055219,0.35861637642745026,-548763.503024-0,-26.203700576027757,58.90438013202575,722.8940728067066,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.15883247590829064,0.4565510596872299,-0.8754046918398994,,,,,,
-548763.495058,3,0.8983789086341858,0.4725060233366344,0.36061534843435206,-548763.495058-0,-25.727504313295114,57.51527975338962,722.0864211868156,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.1578800833828253,0.4537728589299578,-0.8770199950796815,,,,,,
-548763.483014,4,0.8746840357780457,0.468288050993577,0.362051143979095,-548763.483014-0,-30.67649698548327,56.615473096269284,722.5408557835051,53.21253737811755,-169.3711497115892,1160.5964187266563,-0.16777806872720166,0.451973245615717,-0.8761111258863027,,,,,,
-548763.475017,4,0.8962152600288391,0.46492179110751436,0.36203460663611164,-548763.475017-0,-34.65693881100937,56.70286232905754,723.3525216488476,53.21642874852319,-169.35540158313614,1160.5892225223586,-0.17574673511906505,0.4521165278243873,-0.8744734017470223,,,,,,
-548763.46699,4,0.7694764137268066,0.46536805021671396,0.36201993449795944,-548763.46699-0,-34.12870417838373,56.70247986131275,723.2464942292861,53.21642874852319,-169.35540158313614,1160.5892225223586,-0.1746902658538138,0.4521157628888978,-0.8746854565861455,,,,,,
-548763.459009,4,0.8974238634109497,0.46817023773956573,0.35959714042665103,-548763.459009-0,-30.857820194429053,58.31251887618001,723.4406909470954,53.21642874852319,-169.35540158313614,1160.5892225223586,-0.16814849788590447,0.45533584091863233,-0.8742970631505266,,,,,,
