key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,15.11.2023
Export Time,10:48:14
Frame Index Range:,0 - 1682
Relative Time Range,00:00.000 - 01:11.751
Absolute Time Range,-548763.679306 - -548691.928127
