key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,11.07.2023
Export Time,13:05:45
Frame Index Range:,0 - 1730
Relative Time Range,00:00.000 - 00:58.175
Absolute Time Range,62260.662748 - 62318.837789
