key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,11.07.2023
Export Time,11:28:13
Frame Index Range:,0 - 1527
Relative Time Range,00:00.000 - 00:51.149
Absolute Time Range,354660.563931 - 354711.713848
