key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,11.07.2023
Export Time,12:22:42
Frame Index Range:,0 - 1902
Relative Time Range,00:00.000 - 01:03.732
Absolute Time Range,354961.570191 - 355025.30238
