key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,15.11.2023
Export Time,10:52:07
Frame Index Range:,0 - 1076
Relative Time Range,00:00.000 - 00:50.315
Absolute Time Range,-549596.087081 - -549545.771752
