# timestamps [seconds],pts
62528.649351,522455
62528.681329,524551
62528.713349,526649
62528.749529,529020
62528.781448,531112
62528.813234,533195
62528.849444,535568
62528.881366,537660
62528.917368,540020
62528.951606,542263
62528.983987,544386
62529.017506,546582
62529.049569,548683
62529.081910,550803
62529.117251,553119
62529.149456,555230
62529.185350,557582
62529.217391,559682
62529.249453,561783
62529.285457,564142
62529.317275,566228
62529.349402,568333
62529.385265,570683
62529.419496,572927
62529.453213,575136
62529.485431,577248
62529.517731,579364
62529.553309,581696
62529.585411,583800
62529.617456,585900
62529.653368,588253
62529.685256,590343
62529.721323,592707
62529.753920,594843
62529.785251,596896
62529.821287,599258
62529.853280,601355
62529.885254,603450
62529.921410,605820
62529.953254,607906
62529.989486,610281
62530.023617,612518
62530.053364,614467
62530.089436,616831
62530.121259,618917
62530.157401,621285
62530.189394,623382
62530.221326,625475
62530.257557,627849
62530.291439,630069
62530.321315,632027
62530.357348,634389
62530.389338,636485
62530.425481,638854
62530.457459,640949
62530.489474,643048
62530.525355,645399
62530.557388,647498
62530.589397,649596
62530.625392,651955
62530.657427,654054
62530.693220,656400
62530.725397,658509
62530.757394,660606
62530.793308,662959
62530.825401,665063
62530.857479,667165
62530.893311,669513
62530.925458,671620
62530.961322,673970
62530.993273,676064
62531.025359,678167
62531.061306,680523
62531.093276,682618
62531.125405,684723
62531.161360,687080
62531.193279,689171
62531.229268,691530
62531.261366,693634
62531.293267,695724
62531.329311,698086
62531.361417,700190
62531.393254,702277
62531.429377,704644
62531.461379,706741
62531.497305,709096
62531.529334,711195
62531.561277,713288
62531.597528,715664
62531.629238,717742
62531.662484,719921
62531.697406,722209
62531.729323,724301
62531.765387,726665
62531.797417,728764
62531.829361,730857
62531.865424,733220
62531.897424,735318
62531.933499,737682
62531.965369,739770
62531.997389,741869
62532.033462,744233
62532.065391,746325
62532.097407,748423
62532.133378,750781
62532.165341,752876
62532.201438,755241
62532.233849,757365
62532.265347,759429
62532.301256,761783
62532.333372,763887
62532.365376,765985
62532.401354,768343
62532.434942,770544
62532.469243,772792
62532.501240,774889
62532.533459,777000
62532.569258,779346
62532.601398,781453
62532.633487,783555
62532.669247,785899
62532.701446,788009
62532.737187,790351
62532.769209,792450
62532.801658,794577
62532.837259,796910
62532.869248,799006
62532.901445,801116
62532.937293,803465
62532.969360,805567
62533.005247,807919
62533.037716,810047
62533.070813,812216
62533.105266,814474
62533.137233,816568
62533.169338,818672
62533.205256,821026
62533.239200,823251
62533.273304,825486
62533.305387,827588
62533.338072,829730
62533.373457,832049
62533.405336,834139
62533.441610,836516
62533.473481,838604
62533.505425,840698
62533.541451,843059
62533.573489,845159
62533.605868,847280
62533.641448,849612
62533.673426,851708
62533.709302,854059
62533.741401,856163
62533.776578,858468
62533.809320,860614
62533.841435,862718
62533.873447,864816
62533.909297,867166
62533.941444,869272
62533.977256,871619
62534.009448,873729
62534.041522,875831
62534.077255,878173
62534.109307,880273
62534.141392,882376
62534.177264,884727
62534.209489,886839
62534.245236,889181
62534.277261,891280
62534.309384,893385
62534.345188,895732
62534.377269,897834
62534.409448,899943
62534.445268,902291
62534.477408,904397
62534.513400,906756
62534.545374,908851
62534.577249,910940
62534.613311,913303
62534.645345,915403
62534.677232,917492
62534.713390,919862
62534.745287,921952
62534.781430,924321
62534.813342,926412
62534.845355,928510
62534.881343,930869
62534.913340,932966
62534.945259,935057
62534.981433,937428
62535.013342,939519
62535.049448,941885
62535.081373,943978
62535.113343,946073
62535.149405,948436
62535.181375,950531
62535.217477,952897
62535.249402,954989
62535.281353,957083
62535.317301,959439
62535.349379,961541
62535.381498,963646
62535.417413,966000
62535.449349,968093
62535.485167,970440
62535.517630,972568
62535.549472,974655
62535.585262,977000
62535.617409,979107
62535.649331,981199
62535.685232,983552
62535.717266,985651
62535.753213,988007
62535.785208,990104
62535.817329,992209
62535.853197,994559
62535.886130,996717
62535.920544,998973
62535.953285,1001118
62535.985293,1003216
62536.021368,1005580
62536.058156,1007991
62536.091885,1010202
62536.122259,1012192
62536.153739,1014255
62536.185237,1016319
62536.221311,1018684
62536.253240,1020776
62536.289342,1023142
62536.324220,1025428
62536.357023,1027577
62536.389823,1029727
62536.422334,1031858
62536.453579,1033905
62536.489364,1036250
62536.521242,1038340
62536.557413,1040710
62536.589382,1042805
62536.621229,1044892
62536.657363,1047260
62536.689362,1049357
62536.725366,1051717
62536.757418,1053817
62536.790675,1055997
62536.825307,1058266
62536.857492,1060376
62536.889378,1062465
62536.925313,1064820
62536.957402,1066923
62536.993216,1069270
62537.025385,1071379
62537.057470,1073481
62537.093415,1075837
62537.125361,1077930
62537.157337,1080026
62537.193248,1082379
62537.225597,1084499
62537.261369,1086844
62537.293314,1088937
62537.325486,1091046
62537.361263,1093390
62537.393263,1095487
62537.425555,1097604
62537.461366,1099951
62537.493387,1102049
62537.529234,1104398
62537.561304,1106500
62537.593266,1108595
62537.629233,1110952
62537.661337,1113056
62537.693258,1115148
62537.729333,1117512
62537.761226,1119602
62537.797410,1121973
62537.829365,1124067
62537.861380,1126165
62537.897427,1128528
62537.929232,1130612
62537.961248,1132710
62537.997454,1135083
62538.029251,1137167
62538.065493,1139542
62538.097346,1141629
62538.129296,1143723
62538.165404,1146090
62538.197352,1148183
62538.229232,1150273
62538.265366,1152641
62538.297493,1154746
62538.333339,1157095
62538.365403,1159197
62538.397453,1161297
62538.433397,1163653
62538.465423,1165751
62538.501293,1168102
62538.533384,1170205
62538.565360,1172301
62538.601401,1174663
62538.633411,1176761
62538.665460,1178861
62538.701235,1181205
62538.733375,1183312
62538.769239,1185662
62538.801438,1187772
62538.833533,1189876
62538.869279,1192218
62538.901244,1194313
62538.933367,1196418
62538.969205,1198767
62539.002244,1200932
62539.038023,1203277
62539.069256,1205324
62539.102124,1207478
62539.137281,1209782
62539.171308,1212012
62539.204246,1214170
62539.240064,1216518
62539.278114,1219011
62539.312107,1221239
62539.345339,1223417
62539.375692,1225406
62539.405951,1227389
62539.440773,1229671
62539.476569,1232017
62539.512465,1234369
62539.546611,1236607
62539.580895,1238854
62539.614604,1241063
62539.648156,1243262
62539.680040,1245351
62539.711739,1247429
62539.742612,1249452
62539.773930,1251504
62539.805734,1253589
62539.841468,1255931
62539.873414,1258024
62539.905331,1260116
62539.941411,1262480
62539.973435,1264579
62540.009439,1266939
62540.044219,1269218
62540.073388,1271129
62540.109281,1273482
62540.141404,1275587
62540.173419,1277685
62540.209435,1280045
62540.243814,1282298
62540.277163,1284484
62540.309355,1286593
62540.341340,1288690
62540.377610,1291067
62540.409383,1293149
62540.441493,1295253
62540.477223,1297595
62540.509255,1299694
62540.545254,1302053
62540.577266,1304151
62540.609397,1306257
62540.645277,1308608
62540.677379,1310712
62540.709243,1312800
62540.745309,1315164
62540.777227,1317255
62540.813222,1319614
62540.845335,1321719
62540.877256,1323811
62540.913347,1326176
62540.945303,1328270
62540.977278,1330366
62541.013401,1332733
62541.045854,1334860
62541.081297,1337183
62541.113362,1339284
62541.145229,1341373
62541.181497,1343749
62541.213279,1345832
62541.245220,1347925
62541.281356,1350294
62541.313374,1352392
62541.349416,1354754
62541.381450,1356853
62541.413247,1358937
62541.449429,1361308
62541.481424,1363405
62541.517308,1365757
62541.549312,1367854
62541.581426,1369959
62541.617470,1372321
62541.649416,1374414
62541.681849,1376540
62541.717262,1378861
62541.749379,1380965
62541.785218,1383314
62541.817386,1385422
62541.849455,1387524
62541.885232,1389869
62541.917322,1391972
62541.949474,1394079
62541.985444,1396436
62542.017428,1398532
62542.053229,1400878
62542.085298,1402980
62542.117220,1405072
62542.153185,1407429
62542.185309,1409534
62542.218290,1411696
62542.253343,1413993
62542.286892,1416191
62542.321211,1418440
62542.353288,1420543
62542.385192,1422633
62542.421237,1424996
62542.453484,1427109
62542.485776,1429225
62542.521349,1431557
62542.553934,1433692
62542.589332,1436012
62542.621353,1438110
62542.653238,1440200
62542.689449,1442573
62542.721355,1444664
62542.753231,1446753
62542.789440,1449126
62542.821279,1451212
62542.857428,1453581
62542.889396,1455676
62542.921241,1457763
62542.957315,1460128
62542.990338,1462292
62543.022644,1464409
62543.057384,1466686
62543.089707,1468804
62543.125293,1471136
62543.157342,1473236
62543.189437,1475340
62543.225366,1477694
62543.258984,1479897
62543.293171,1482138
62543.325352,1484247
62543.357377,1486346
62543.393288,1488699
62543.427778,1490959
62543.458333,1492962
62543.493302,1495253
62543.525450,1497360
62543.561342,1499712
62543.593437,1501816
62543.625331,1503906
62543.661194,1506256
62543.693227,1508356
62543.725433,1510466
62543.761251,1512814
62543.793298,1514914
62543.829219,1517268
62543.861233,1519366
62543.893237,1521463
62543.929296,1523826
62543.961210,1525918
62543.993283,1528020
62544.029407,1530387
62544.061254,1532474
62544.097328,1534838
62544.129225,1536929
62544.161361,1539035
62544.197497,1541403
62544.229228,1543482
62544.261224,1545579
62544.297389,1547949
62544.329238,1550037
62544.365306,1552400
62544.397377,1554502
62544.429225,1556589
62544.465411,1558961
62544.497328,1561052
62544.529313,1563148
62544.565314,1565508
62544.597465,1567615
62544.633428,1569972
62544.665405,1572067
62544.697342,1574160
62544.733369,1576521
62544.765318,1578615
62544.801432,1580982
62544.833361,1583074
62544.865440,1585177
62544.901270,1587525
62544.933460,1589634
62544.965407,1591728
62545.001388,1594086
62545.033496,1596190
62545.069175,1598528
62545.101236,1600629
62545.133425,1602739
62545.169281,1605089
62545.201341,1607190
62545.233487,1609296
62545.269211,1611638
62545.301293,1613740
62545.337232,1616095
62545.369233,1618193
62545.401358,1620298
62545.437206,1622647
62545.469327,1624752
62545.501197,1626841
62545.537294,1629206
62545.569248,1631301
62545.605338,1633666
62545.637225,1635755
62545.669268,1637855
62545.705324,1640218
62545.737234,1642310
62545.769263,1644409
62545.805341,1646773
62545.837303,1648868
62545.873261,1651224
62545.905320,1653325
62545.937217,1655415
62545.973340,1657783
62546.005322,1659879
62546.037211,1661969
62546.073327,1664335
62546.106147,1666486
62546.141377,1668795
62546.173313,1670888
62546.205312,1672985
62546.241361,1675348
62546.273344,1677444
62546.309293,1679799
62546.341349,1681900
62546.373313,1683995
62546.409468,1686364
62546.441361,1688455
62546.473367,1690552
62546.509260,1692904
62546.541986,1695049
62546.577182,1697356
62546.609465,1699471
62546.641341,1701560
62546.677227,1703912
62546.709286,1706013
62546.742044,1708160
62546.777246,1710467
62546.809343,1712570
62546.845180,1714919
62546.877242,1717020
62546.909300,1719121
62546.945177,1721472
62546.977216,1723572
62547.009496,1725687
62547.045315,1728035
62547.077260,1730128
62547.113264,1732488
62547.145411,1734594
62547.177283,1736683
62547.213285,1739043
62547.245357,1741144
62547.277816,1743272
62547.313425,1745605
62547.345254,1747691
62547.381307,1750054
62547.414030,1752198
62547.445203,1754241
62547.481257,1756604
62547.513339,1758707
62547.545332,1760803
62547.581357,1763164
62547.613347,1765261
62547.649479,1767629
62547.681383,1769719
62547.713392,1771817
62547.749402,1774177
62547.781358,1776271
62547.813242,1778361
62547.849452,1780734
62547.881306,1782821
62547.917286,1785179
62547.949417,1787285
62547.981450,1789384
62548.017404,1791740
62548.049344,1793834
62548.085182,1796182
62548.117238,1798283
62548.149378,1800389
62548.185307,1802744
62548.217428,1804849
62548.249469,1806949
62548.285365,1809301
62548.317329,1811396
62548.353215,1813748
62548.385332,1815853
62548.417334,1817950
62548.453177,1820299
62548.485302,1822404
62548.517174,1824493
62548.553299,1826860
62548.585276,1828956
62548.621293,1831316
62548.653384,1833419
62548.687415,1835650
62548.721234,1837866
62548.753196,1839961
62548.785240,1842061
62548.821382,1844429
62548.853198,1846514
62548.889277,1848879
62548.921195,1850970
62548.953222,1853069
62548.989361,1855438
62549.021222,1857526
62549.053200,1859621
62549.089342,1861990
62549.121287,1864083
62549.157412,1866451
62549.189417,1868548
