device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
4780597721,1028775941202,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7669530510902405, 0.7394390106201172)","(145.59930419921875, 90.47274780273438, 24.883554458618164)",1,3.23046875,1,"(-226.98829650878906, 14.974893569946289, 823.643798828125)","(0.8867062926292419, 0.4410586357116699, 0.9089611768722534)",1,1698049787940,0.7669530510902405,0.7394390106201172
4780608824,1028775952302,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7697352170944214, 0.7473307251930237)","(147.08627319335938, 88.24332427978516, 24.072050094604492)",1,3.190216064453125,1,"(-226.9965057373047, 14.946086883544922, 823.6324462890625)","(0.8867262601852417, 0.44112429022789, 0.9089426398277283)",1,1698049787951,0.7697352170944214,0.7473307251930237
4780619927,1028775963402,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7697352170944214, 0.7473307251930237)","(147.08627319335938, 88.24332427978516, 24.072050094604492)",1,3.190216064453125,1,"(-226.996337890625, 14.94654655456543, 823.6325073242188)","(0.8867260217666626, 0.44112321734428406, 0.9089426398277283)",1,1698049787962,0.7697352170944214,0.7473307251930237
4780631031,1028775974502,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7622572779655457, 0.7539750337600708)","(143.08963012695312, 86.36624908447266, 23.38884925842285)",1,3.22601318359375,1,"(-227.02508544921875, 14.882296562194824, 823.3727416992188)","(0.8869003653526306, 0.4412583112716675, 0.908454954624176)",1,1698049787973,0.7622572779655457,0.7539750337600708
4780642134,1028775985601,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7407698631286621, 0.7904917597770691)","(131.60537719726562, 76.05010223388672, 19.634130477905273)",1,3.372833251953125,1,"(-226.41189575195312, 15.88524341583252, 823.5204467773438)","(0.8857563138008118, 0.4389669597148895, 0.9084503054618835)",1,1698049787984,0.7407698631286621,0.7904917597770691
4780653237,1028775996701,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7407698631286621, 0.7904917597770691)","(131.60537719726562, 76.05010223388672, 19.634130477905273)",1,3.372833251953125,1,"(-225.3956756591797, 14.255240440368652, 823.8374633789062)","(0.8838726878166199, 0.4427594244480133, 0.9084666967391968)",1,1698049788013,0.7407698631286621,0.7904917597770691
4780664340,1028776007804,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7501642107963562, 0.7516818046569824)","(136.6262969970703, 87.01412963867188, 23.62470054626465)",1,3.2654266357421875,1,"(-225.55397033691406, 15.441473007202148, 823.7708129882812)","(0.8841614127159119, 0.4400200843811035, 0.9084628820419312)",1,1698049788014,0.7501642107963562,0.7516818046569824
4780675443,1028776018906,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7501642107963562, 0.7516818046569824)","(136.6262969970703, 87.01412963867188, 23.62470054626465)",1,3.2654266357421875,1,"(-226.34686279296875, 15.760614395141602, 823.544921875)","(0.8856340646743774, 0.4392567574977875, 0.9084583520889282)",1,1698049788017,0.7501642107963562,0.7516818046569824
4780686546,1028776030008,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7501642107963562, 0.7516818046569824)","(136.6262969970703, 87.01412963867188, 23.62470054626465)",1,3.2654266357421875,1,"(-224.60980224609375, 15.624711990356445, 824.0202026367188)","(0.8824102282524109, 0.4396302402019501, 0.908453106880188)",1,1698049788028,0.7501642107963562,0.7516818046569824
4780697649,1028776041111,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7799575924873352, 0.7055754065513611)","(152.5497589111328, 100.03939056396484, 28.365497589111328)",1,3.1775360107421875,1,"(-225.91317749023438, 16.375518798828125, 823.645263671875)","(0.8848285675048828, 0.43785402178764343, 0.908445417881012)",1,1698049788040,0.7799575924873352,0.7055754065513611
4780708752,1028776052213,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7799575924873352, 0.7055754065513611)","(152.5497589111328, 100.03939056396484, 28.365497589111328)",1,3.1775360107421875,1,"(-227.14761352539062, 16.443063735961914, 823.3012084960938)","(0.8871247172355652, 0.43765440583229065, 0.9084394574165344)",1,1698049788050,0.7799575924873352,0.7055754065513611
4780719856,1028776063326,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7799575924873352, 0.7055754065513611)","(152.5497589111328, 100.03939056396484, 28.365497589111328)",1,3.1775360107421875,1,"(-227.14744567871094, 16.443519592285156, 823.30126953125)","(0.8871243596076965, 0.4376533627510071, 0.9084394574165344)",1,1698049788062,0.7799575924873352,0.7055754065513611
4780730959,1028776074437,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7519957423210144, 0.7603002190589905)","(137.60519409179688, 84.57935333251953, 22.738588333129883)",1,3.3296356201171875,1,"(-227.19735717773438, 14.794234275817871, 823.320556640625)","(0.8872241973876953, 0.4414551854133606, 0.9084428548812866)",1,1698049788073,0.7519957423210144,0.7603002190589905
4780742062,1028776085550,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7519957423210144, 0.7603002190589905)","(137.60519409179688, 84.57935333251953, 22.738588333129883)",1,3.3296356201171875,1,"(-226.6109619140625, 14.899866104125977, 823.4817504882812)","(0.8861322999000549, 0.44123178720474243, 0.9084456562995911)",1,1698049788083,0.7519957423210144,0.7603002190589905
4780753165,1028776096663,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7519957423210144, 0.7603002190589905)","(137.60519409179688, 84.57935333251953, 22.738588333129883)",1,3.3296356201171875,1,"(-226.1933135986328, 15.309436798095703, 823.5877075195312)","(0.8853545784950256, 0.4403018355369568, 0.9084430932998657)",1,1698049788094,0.7519957423210144,0.7603002190589905
4780764268,1028776107772,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.728513240814209, 0.7456557750701904)","(125.05465698242188, 88.71649932861328, 24.24428367614746)",1,3.381317138671875,1,"(-224.40716552734375, 15.184160232543945, 824.0908203125)","(0.8820330500602722, 0.44065260887145996, 0.9084669351577759)",1,1698049788106,0.728513240814209,0.7456557750701904
4780775371,1028776118875,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.761522114276886, 0.7539949417114258)","(142.69667053222656, 86.36063385009766, 23.386871337890625)",1,3.2534027099609375,1,"(-227.39476013183594, 14.67465591430664, 823.24072265625)","(0.8876051902770996, 0.44172292947769165, 0.9083899855613708)",1,1698049788116,0.761522114276886,0.7539949417114258
