key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,11.07.2023
Export Time,13:04:13
Frame Index Range:,0 - 1141
Relative Time Range,00:00.000 - 00:38.304
Absolute Time Range,62594.828189 - 62633.133142
